Attribute,Type,Unit,Default,Description,Status
name,string,n/a,n/a,Unique name,Input (required)
bus0,string,n/a,n/a,Name of first bus to which link is attached.,Input (required)
bus1,string,n/a,n/a,Name of second bus to which link is attached.,Input (required)
efficiency,float,per unit,1.,Efficiency of power transfer from bus0 to bus1.,Input (optional)
p_nom,float,MVA,0.,Limit of active power which can pass through link.,Input (optional)
p_nom_extendable,boolean,n/a,False,Switch to allow capacity p_nom to be extended in OPF.,Input (optional)
p_nom_min,float,MVA,0.,"If p_nom is extendable in OPF, set its minimum value.", Input (optional)
p_nom_max,float,MVA,inf,"If p_nom is extendable in OPF, set its maximum value (e.g. limited by potential).", Input (optional)
p_set,series,MW,0.,"The dispatch set point for the link in PF.",Input (optional)
p_min_pu,float,per unit of p_nom,0.,"Minimal dispatch (can also be negative) per unit of p_nom for the link in OPF.",Input (optional)
p_max_pu,float,per unit of p_nom,1.,"Maximal dispatch (can also be negative) per unit of p_nom for the link in OPF.",Input (optional)
capital_cost,float,currency/MW,0.,"Capital cost of extending p_nom by 1 MW.",Input (optional)
marginal_cost,float,currency/MWh,0.,"Marginal cost of transfering 1 MWh (before efficiency losses) from bus0 to bus1.",Input (optional)
p0,series of floats,MW,0.,Active power at bus0 (positive if branch is withdrawing power from bus0).,Output
p1,series of floats,MW,0.,Active power at bus1 (positive if branch is withdrawing power from bus1).,Output
p_nom_opt,float,MVA,0.,Optimised capacity for active power.,Output
