Attribute,Type,Unit,Default,Description,Status
name,string,n/a,n/a,Unique name,Input (required)
bus0,string,n/a,n/a,Name of first bus to which branch is attached.,Input (required)
bus1,string,n/a,n/a,Name of second bus to which branch is attached.,Input (required)
s_nom,float,MVA,0.,Limit of apparent power which can pass through branch.,Input (optional)
s_nom_extendable,boolean,n/a,False,Switch to allow capacity s_nom to be extended in OPF.,Input (optional)
s_nom_min,float,MVA,0.,"If s_nom is extendable in OPF, set its minimum value.", Input (optional)
s_nom_max,float,MVA,NaN,"If s_nom is extendable in OPF, set its maximum value (e.g. limited by potential).", Input (optional)
p_set,series,MW,0.,"The dispatch set point for the controllable branch in PF.",Input (optional)
p_min_pu,float,per unit of s_nom,-1.,"Minimal dispatch (can also be negative) per unit of s_nom for the controllable branch in OPF.",Input (optional)
p_max_pu,float,per unit of s_nom,1.,"Maximal dispatch (can also be negative) per unit of s_nom for the controllable branch in OPF.",Input (optional)
capital_cost,float,currency/MVA,0.,"Capital cost of extending s_nom by 1 MVA.",Input (optional)
p0,series of floats,MW,0.,Active power at bus0 (positive if bus is withdrawing power).,Output
q0,series of floats,MVar,0.,Reactive power at bus0 (positive if bus is withdrawing power).,Output
p1,series of floats,MW,0.,Active power at bus1 (positive if bus is withdrawing power).,Output
q1,series of floats,MVar,0.,Reactive power at bus1 (positive if bus is withdrawing power).,Output
s_nom_opt,float,MVA,0.,Optimised capacity for apparent power.,Output
