Attribute,Type,Unit,Default,Description,Status
name,string,n/a,n/a,Unique name,Input (required)
bus,string,n/a,n/a,name of bus to which generator is attached,Input (required)
dispatch,string,n/a , """flexible""","Controllability of active power dispatch, must be ""flexible"" or ""variable"".",Input (optional)
control,string,n/a , """PQ""","P,Q,V control strategy for PF, must be ""PQ"", ""PV"" or ""Slack"".",Input (optional)
p_nom,float,MW,0.,Nominal power for limits in OPF., Input (optional)
p_nom_extendable,boolean,n/a,False,Switch to allow capacity p_nom to be extended in OPF., Input (optional)
p_nom_min,float,MW,0.,"If p_nom is extendable in OPF, set its minimum value.", Input (optional)
p_nom_max,float,MW,inf,"If p_nom is extendable in OPF, set its maximum value (e.g. limited by potential).", Input (optional)
p_min_pu,series,per unit,0.,"If control=""variable"" this gives the minimum output for each snapshot per unit of p_nom for the OPF.",Input (optional)
p_max_pu,series,per unit,1.,"If control=""variable"" this gives the maximum output for each snapshot per unit of p_nom for the OPF, relevant e.g. if for renewables the power output is limited by the weather.",Input (optional)
p_min_pu_fixed,float,per unit,0.,"If control=""flexible"" this gives the minimum output per unit of p_nom for the OPF.",Input (optional)
p_max_pu_fixed,float,per unit,1.,"If control=""flexible"" this gives the maximum output per unit of p_nom for the OPF, equivalent to a de-rating factor.",Input (optional)
p_set,series,MW,0.,active power set point (for PF),Input (optional)
q_set,series,MVar,0.,reactive power set point (for PF),Input (optional)
sign,float,n/a,1.,power sign,Input (optional)
carrier,string,n/a,n/a,"Prime mover energy carrier (e.g. coal, gas, wind, solar); required for CO2 calculation in OPF",Input (optional)
marginal_cost,float,currency/MWh,0.,"Marginal cost of production of 1 MWh.",Input (optional)
capital_cost,float,currency/MW,0.,"Capital cost of extending p_nom by 1 MW.",Input (optional)
efficiency,float,per unit,1.,"Ratio between primary energy and electrical energy, e.g. takes value 0.4 for gas. This is important for determining CO2 emissions per MWh.",Input (optional)
p,series of floats,MW,0.,active power at bus (positive if net generation),Output
q,series of floats,MVar,0.,reactive power (positive if net generation),Output
p_nom_opt,float,MW,0.,Optimised nominal power.,Output
