name,Storage 0,Storage 1,Storage 2,Storage 3,Storage 4,Storage 5
2015-01-01 00:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 07:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 08:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 09:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 10:00:00,20.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 11:00:00,20.0,0.0,0.0,0.0,0.0,0.0
