name,TL 0,TL 1
2015-01-01 00:00:00,87.4869392692,-10.6550856679
2015-01-01 01:00:00,-27.0466240728,-97.6378082686
2015-01-01 02:00:00,82.9493577861,-39.632948653
2015-01-01 03:00:00,-37.5332425223,-91.2700665597
2015-01-01 04:00:00,76.7197089907,90.1756313646
2015-01-01 05:00:00,54.6341995049,18.8030289359
2015-01-01 06:00:00,9.69608042077,-75.4175007354
2015-01-01 07:00:00,-87.9521282495,-89.3052231352
2015-01-01 08:00:00,82.6107867244,-86.0030760491
2015-01-01 09:00:00,-15.7767857229,44.5469468665
