generator_id,bus_id,technology,capacity,tags,geometry
1,12,Other or not listed,-1,'"TSO"=>"", "oid"=>"29887", "name"=>"Jeddah", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(39.69223 21.940498)
2,1,Other or not listed,-1,'"TSO"=>"", "oid"=>"29892", "name"=>"Shoaibah", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(39.70047 21.594874)
3,3,Other or not listed,-1,'"TSO"=>"", "oid"=>"29891", "name"=>"Taif", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(40.388489 21.672744)
4,1,Other or not listed,-1,'"TSO"=>"", "oid"=>"29914", "name"=>"Port Sudan", "country"=>"SD", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"1", "visible_on_printed"=>"1"',POINT(37.131042 20.464329)
5,5,Other or not listed,-1,'"TSO"=>"", "oid"=>"29885", "name"=>"Al Madina", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(39.641418 24.691943)
6,6,Other or not listed,-1,'"TSO"=>"", "oid"=>"29898", "name"=>"Al Munwwarah", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(39.616699 24.468401)
7,11,Other or not listed,-1,'"TSO"=>"", "oid"=>"29894", "name"=>"Jeddah", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(39.673004 22.086912)
8,16,Other or not listed,-1,'"TSO"=>"", "oid"=>"29890", "name"=>"Makkah", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(40.273132 22.015634)
9,19,Other or not listed,0,'"TSO"=>"", "oid"=>"57196", "name"=>"Safaga", "country"=>"EG", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"1", "visible_on_printed"=>"1"',POINT(33.798065 26.781169)
10,25,Other or not listed,-1,'"TSO"=>"", "oid"=>"29886", "name"=>"Rabigh", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(38.82019 23.514886)
11,26,Other or not listed,-1,'"TSO"=>"", "oid"=>"29901", "name"=>"Ipp", "country"=>"SA", "visible"=>"1", "tie_line_s"=>"0", "under_construction"=>"1", "visible_on_printed"=>"1"',POINT(39.255524 22.921718)
12,34,Other or not listed,0,'"TSO"=>"", "oid"=>"57194", "name"=>"Nag Hammadi", "country"=>"EG", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(32.103424 25.781344)
13,45,Mixed fuels,0,'"TSO"=>"", "oid"=>"57045", "name"=>"Asna Power Plant", "country"=>"EG", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(32.566223 25.367605)
14,49,Hydro mixed pump storage,0,'"TSO"=>"", "oid"=>"57190", "name"=>"Asna", "country"=>"EG", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(32.828522 25.295613)
15,61,Hydro mixed pump storage,0,'"TSO"=>"", "oid"=>"57192", "name"=>"Aswan Dam 1.2", "country"=>"EG", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(32.801056 23.968686)
16,64,Hydro mixed pump storage,0,'"TSO"=>"", "oid"=>"57191", "name"=>"High Dam", "country"=>"EG", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(33.016663 23.840626)
17,73,Fossil fuel,0,'"TSO"=>"", "oid"=>"57807", "name"=>"KUFRA", "country"=>"LY", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(22.214355 25.258359)
18,75,Fossil fuel,0,'"TSO"=>"", "oid"=>"57717", "name"=>"GENERATION OUBARI", "country"=>"LY", "visible"=>"1", "EIC_code"=>"", "tie_line_s"=>"0", "under_construction"=>"0", "visible_on_printed"=>"1"',POINT(12.998199 26.803235)
