name,v_nom,x,y,frequency,operator,wkt_srid_4326,ref,voltage,typ,osm_name
1,220.0,9.52257596986,52.3604090558,50,TenneT;EON_Netz,SRID=4326;POINT(9.52257596986262 52.3604090557601),,220000;110000,substation,Hannover/West
2,380.0,9.11321007473,52.5438533224,50,TenneT,SRID=4326;POINT(9.11321007472722 52.5438533223737),,220000,substation,Umspannwerk Kraftwerk Robert Frank
3,380.0,9.38974509625,52.026313066,50,TenneT,SRID=4326;POINT(9.38974509624863 52.0263130660355),,380000;110000,substation,UW Grohnde 380 kV / 110 kV
4,380.0,9.12526570295,52.5382640871,50,TenneT TSO GmbH,SRID=4326;POINT(9.12526570294975 52.5382640870749),,380000;220000,substation,Landesbergen
5,380.0,10.3662749375,52.2846467462,50,TenneT,SRID=4326;POINT(10.3662749375017 52.2846467462009),,380000;220000,substation,Wahle
6,220.0,9.91814864614,52.3799963126,50,TenneT_TSO,SRID=4326;POINT(9.91814864613865 52.3799963125719),,220000;110000,substation,TenneT TSO GmbH - Betriebszentrum Lehrte
7,380.0,9.91717971972,52.2781686139,50,TenneT,SRID=4326;POINT(9.91717971972185 52.2781686139394),,380000;110000,substation,Algermissen
8,380.0,10.4149923382,53.412606883,,50Hertz,SRID=4326;POINT(10.4149923381504 53.4126068830249),,380000;110000,substation,Krümmel
9,380.0,10.3787705904,53.2197927686,50,EON_Netz,SRID=4326;POINT(10.3787705903765 53.2197927685849),LUEN,380000;110000,substation,Lüneburg
10,380.0,12.9416466019,52.5621144046,,50Hertz Transmission GmbH;E.ON edis AG,SRID=4326;POINT(12.9416466019288 52.5621144045848),Wu,380000;220000;110000,substation,Wustermark
11,220.0,13.2061029868,52.6571362773,50,50Hertz Transmission,SRID=4326;POINT(13.2061029867985 52.6571362773373),,220000,substation,Hennigsdorf
12,380.0,13.7096697058,52.5397952581,50,50Hertz Transmission GmbH,SRID=4326;POINT(13.7096697058228 52.5397952580643),NHG TCC,380000;220000;110000,substation,Neuenhagen
13,380.0,11.3704262487,48.291492233,,TenneT TSO GmbH;E.ON Netz GmbH,SRID=4326;POINT(11.3704262486892 48.2914922329548),OBA,380000;220000;110000,substation,Umspannwerk Oberbachern
14,220.0,11.8132328973,48.2212664655,,"TenneT TSO GmbH, E.ON Netz GmbH",SRID=4326;POINT(11.8132328973194 48.2212664654998),NFI,220000;110000,substation,Umspannwerk Neufinsing
15,380.0,11.8681562939,48.2068029185,50,TenneT TSO GmbH,SRID=4326;POINT(11.8681562938884 48.2068029185353),OH,380000;220000,substation,Umspannwerk Ottenhofen
16,380.0,10.7610403786,52.3677293804,50,EON_Netz,SRID=4326;POINT(10.7610403785613 52.3677293804096),,380000,substation,Umspannwerk Hattorf
17,380.0,13.4947633747,52.5897644436,50,50Hertz;Stromnetz Berlin,SRID=4326;POINT(13.4947633747219 52.5897644435618),MOW,380000;110000,substation,Umspannwerk Malchow
18,380.0,13.6834769667,54.1390906407,,50Hertz,SRID=4326;POINT(13.6834769666546 54.1390906406635),,380000;220000,substation,Umspannwerk Lubmin
19,220.0,11.2939727001,48.052042772,,"TenneT TSO GmbH, E.ON Netz GmbH",SRID=4326;POINT(11.2939727001158 48.0520427719624),OBR,220000;110000,substation,Umspannwerk Oberbrunn
20,380.0,9.98460982001,53.741128776,50,50Hertz Transmission,SRID=4326;POINT(9.98460982000897 53.7411287759659),,380000;220000;110000,substation,Umspannwerk Hamburg-Nord
