name,b,b_pu,bus0,bus1,capital_cost,g,g_pu,obj,phase_shift,r,r_pu,s_nom,s_nom_extendable,s_nom_max,s_nom_min,s_nom_opt,sub_network,tap_ratio,v_ang_max,v_ang_min,x,x_pu
2,0.0,0.0,2,2_220kV,0.0,0.0,0.0,Transformer 2,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
5,0.0,0.0,5,5_220kV,0.0,0.0,0.0,Transformer 5,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
10,0.0,0.0,10,10_220kV,0.0,0.0,0.0,Transformer 10,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
12,0.0,0.0,12,12_220kV,0.0,0.0,0.0,Transformer 12,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
13,0.0,0.0,13,13_220kV,0.0,0.0,0.0,Transformer 13,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
15,0.0,0.0,15,15_220kV,0.0,0.0,0.0,Transformer 15,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
18,0.0,0.0,18,18_220kV,0.0,0.0,0.0,Transformer 18,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
20,0.0,0.0,20,20_220kV,0.0,0.0,0.0,Transformer 20,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
22,0.0,0.0,22,22_220kV,0.0,0.0,0.0,Transformer 22,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
24,0.0,0.0,24,24_220kV,0.0,0.0,0.0,Transformer 24,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
26,0.0,0.0,26,26_220kV,0.0,0.0,0.0,Transformer 26,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
30,0.0,0.0,30,30_220kV,0.0,0.0,0.0,Transformer 30,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
32,0.0,0.0,32,32_220kV,0.0,0.0,0.0,Transformer 32,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
37,0.0,0.0,37,37_220kV,0.0,0.0,0.0,Transformer 37,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
42,0.0,0.0,42,42_220kV,0.0,0.0,0.0,Transformer 42,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
46,0.0,0.0,46,46_220kV,0.0,0.0,0.0,Transformer 46,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
52,0.0,0.0,52,52_220kV,0.0,0.0,0.0,Transformer 52,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
56,0.0,0.0,56,56_220kV,0.0,0.0,0.0,Transformer 56,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
61,0.0,0.0,61,61_220kV,0.0,0.0,0.0,Transformer 61,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
68,0.0,0.0,68,68_220kV,0.0,0.0,0.0,Transformer 68,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
69,0.0,0.0,69,69_220kV,0.0,0.0,0.0,Transformer 69,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
74,0.0,0.0,74,74_220kV,0.0,0.0,0.0,Transformer 74,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
78,0.0,0.0,78,78_220kV,0.0,0.0,0.0,Transformer 78,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
86,0.0,0.0,86,86_220kV,0.0,0.0,0.0,Transformer 86,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
87,0.0,0.0,87,87_220kV,0.0,0.0,0.0,Transformer 87,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
94,0.0,0.0,94,94_220kV,0.0,0.0,0.0,Transformer 94,0.0,0.0,0.0,2000.0,False,,0.0,0.0,0,1.0,,,0.1,0.0
