country,carrier,min,max
DE,onwind,0.1,1.00E+09
DE,offwind-ac,0.1,1.00E+09
DE,offwind-dc,0.1,1.00E+09
DE,solar,0.2,1.00E+09
LU,onwind,0,1.00E+09
LU,solar,0,1.00E+09
NL,onwind,0,1.00E+09
NL,offwind-ac,0,1.00E+09
NL,offwind-dc,0,1.00E+09
NL,solar,0,1.00E+09
GB,onwind,0,1.00E+09
GB,offwind-ac,0,1.00E+09
GB,offwind-dc,0,1.00E+09
GB,solar,0,1.00E+09
IE,onwind,0,1.00E+09
IE,offwind-ac,0,1.00E+09
IE,offwind-dc,0,1.00E+09
IE,solar,0,1.00E+09
FR,onwind,0,1.00E+09
FR,offwind-ac,0,1.00E+09
FR,offwind-dc,0,1.00E+09
FR,solar,0,1.00E+09
DK,onwind,0,1.00E+09
DK,offwind-ac,0,1.00E+09
DK,offwind-dc,0,1.00E+09
DK,solar,0,1.00E+09
BE,onwind,0,1.00E+09
BE,offwind-ac,0,1.00E+09
BE,offwind-dc,0,1.00E+09
BE,solar,0,1.00E+09
