transformer_id,symbol,src_bus_id,dst_bus_id,src_voltage,dst_voltage,src_dc,dst_dc,geometry
12433,transformer,423,424,132,220,f,f,POINT(10.447998 36.306272)
12434,transformer,821,822,220,500,f,f,POINT(31.59668 30.230595)
12435,transformer,4710,4711,220,380,f,f,POINT(7.382812 46.263443)
12436,transformer,5219,5220,220,380,f,f,POINT(-1.84570299999999 47.301585)
12437,transformer,6327,6328,220,380,f,f,POINT(-8.64624000000001 41.253032)
12438,transformer,2640,2641,220,380,f,f,POINT(19.281006 50.750359)
12439,transformer,3634,3635,220,380,f,f,POINT(9.78881800000001 47.137425)
12440,transformer,4482,4483,220,380,f,f,POINT(9.16259800000001 45.621722)
12441,transformer,1134,1135,220,380,f,f,POINT(-5.46020499999999 36.137875)
12442,transformer,1695,1696,220,380,f,f,POINT(7.163086 46.202646)
12443,transformer,5483,5484,220,380,f,f,POINT(-2.94433599999999 53.245495)
12444,transformer,2724,2725,220,500,f,f,POINT(36.309814 54.876607)
12445,transformer,1346,1347,132,220,f,f,POINT(-3.86718799999999 35.128894)
12446,transformer,3775,3776,220,380,f,f,POINT(16.45752 43.707594)
12447,transformer,4759,4760,220,380,f,f,POINT(8.85498 46.157005)
12448,transformer,5572,5573,220,380,f,f,POINT(-3.20800799999999 51.138001)
12449,transformer,3778,3779,220,380,f,f,POINT(14.787598 45.344424)
12450,transformer,3957,3958,220,380,f,f,POINT(4.66918899999999 47.323931)
12451,transformer,2701,2702,220,380,f,f,POINT(21.30249 50.436516)
12452,transformer,2303,2304,220,380,f,f,POINT(11.45874 50.979182)
12453,transformer,4524,4525,220,380,f,f,POINT(13.337402 42.488302)
12454,transformer,5374,5375,220,380,f,f,POINT(-1.74682600000001 42.674359)
12455,transformer,3266,3267,220,300,f,f,POINT(30.289307 54.001312)
12456,transformer,2457,2458,132,300,f,f,POINT(6.097412 61.233245)
12457,transformer,1150,1151,220,380,f,f,POINT(-6.91040000000001 39.732538)
12458,transformer,739,740,220,380,f,f,POINT(36.760254 35.012002)
