Name;Converter;Converter2;Total Length (Cable/Pole);Volt (kV);Power (MW);Year;Type;Remarks;Ref
;;;;;;;;;
EuroAsia Interconnector;Israel via Cyprus and Crete;Greece - Attica;1520;600;2000;2022;;;[112][113]
Viking Link;Denmark - Revsing;UK - Bicker Fen;740;;1000-1400;2022;;;[116][117]
NSN Link;Norway - Kvilldal;England - Blyth;730;515;1400;2020;IGBT;Supplier: ABB, Prysmian Group, Nexans;[102][103][104][105]
NorthConnect;Norway - Simadalen;UK - Peterhead;650;;1400;2022;;;[114][115]
NORD.LINK;Norway - Tonstad 58.39_29_N 6.43_29_E;Germany - Wilster 53.55_18_N 9.20_41_E;623;525;1400;2020;Thyr;Supplier: ABB;[99][100][101]
;;;(570/53);;;;;;
NorNed;Netherlands - Eemshaven 53.26_4_N 6.51_57_E;Norway - Feda 58.16_58_N 6.51_55_E;580;450;700;2008;Thyr;Supplier: ABB, Nexans;[38]
;;;(580/0);;;;;;
SACOI 1;Italy - Suvereto 43.3_10_N 10.41_42_E;"France- Lucciana 42.31_40_N 9.26_59_E ; Codrongianos, Italy 40.39_7_N 8.42_48_E";483;200;200;1965;Merc;Replaced in 1986 by Thyr, multiterminal scheme;[1]
;;;(365/118);;;;;;
Volgograd-Donbass;Russia - Volzhskaya 48.49_34_N 44.40_20_E;Ukraine - Mikhailovskaya 48.39_13_N 38.33_56_E;475;400;750;1965;Merc/Thyr;Shut down in 2014;[1]
;;;(0/475);;;;;;
NordBalt;Sweden - Nybro 56.46_1_N 15.51_35_E;Lithuania - Klaip_da 55.40_54_N 21.15_29_E;450;300;700;2015;IGBT;Supplier: ABB;[66]
;;;(450/0);;;;;;
SAPEI;Italy - Latina 41.25_47_N 12.48_25_E;Italy - Fiume Santo 40.50_29_N 8.18_21_E;435;500;1000;2011;Thyr;The largest HVDC link in the Mediterranean Sea. Supplier: ABB;[38][42][43]
;;;(435/0);;;;;;
SACOI 2;Italy - Suvereto 43.3_10_N 10.41_42_E;"France- Lucciana 42.31_40_N 9.26_59_E ; Codrongianos, Italy 40.39_7_N 8.42_48_E";422;200;300;1992;Thyr;Multiterminal scheme;
;;;(118/304);;;;;Supplier: Alstom;
Western HVDC Link;UK - Hunterston;UK - Flintshire Bridge;422;600;2200;2017-18;Thyr;Supplier: Prysmian Group, Siemens;[80][81]
;;;(422/0);;;;;First subsea 600kV link;
HVDC MON.ITA Project;Italy-Cepagatti 42.24_11_N 14.7_46_E;Montenegro - Lastva Grbaljska 42.18_53_N 18.47_35_E;415;±500;1000;2017;IGBT;"Supplier: Toshiba (converter stations); Nexans(cables).";[77][78][79]
;;;(415/0);;;;;;
Shetland HVDC Connection;UK - Upper Kergord;UK - near Staxigoe[108];345;300;550/600;20216;Thyr;;[109][110]
;;;(345/0);;;;;;
COBRAcable;Denmark - Endrup via Fanø;Nederlands - Eemshaven;325;400;700;20194;;;[84][85][86]
Italy-Greece;Greece - Arachthos 39.11_00_N 20.57_48_E;Italy - Galatina 40.9_53_N 18.7_49_E;310;400;500;2001;Thyr;;
;;;(200/110);;;;;;
Eastern HVDC Link;UK - Peterhead;UK - Hawthorn;305;400;2000;2024;;;[118]
Fenno-Skan 2;Finland - Rauma 61.09_07_N 21.37_32_E;Sweden - Finnbole 60.25_30_N 17.3_42_E;303;500;800;2011;Thyr;;
;;;(200/103);;;;;;
Valhall HVDC;Norway - Lista 58.04_37_N 6.46_29_E;Norway - Valhall, Offshore platform;292;150;78;2011;IGBT;Supplier: ABB, Nexans  ;[44][45]
;;;(292/0);;;;;;
Baltic Cable;Germany - Lübeck- Herrenwyk 53.53_46_N 10.48_9_E;Sweden - Kruseberg 55.30_1_N 13.8_45_E;262;450;600;1994;Thyr;Supplier: ABB;
;;;(250/12);;;;;;
SydVästlänken;Sweden - Barkeryd 57.44_52_N 14.39_19_E;Sweden - Hurva 55.49_59_N 13.36_08_E;260;±300;2x720;2016;IGBT;Supplier: Alstom;
;;;(197/63);;;;;;
Cometa;Spain - Morvedre 39.38_28_N 0.14_7_W;Spain - Santa Ponsa 39.32_2_N 2.30_21_E;247;250;400;2011;Thyr;Expected completion 2011;[38]
;;;(247/0);;;;;"Supplier: Siemens (converter stations);Prysmian/Nexans (cables)";
SwePol;Poland - Wierzbi_cin 54.30_8_N 16.53_28_E;Sweden - Stärnö 56.9_11_N 14.50_29_E;245;450;600;2000;Thyr;Supplier: ABB;[36]
;;;(245/0);;;;;;
BritNed;UK - Grain 51.26_24_N 0.43_0_E;Netherlands - Maasvlakte 51.57_27_N 4.01_17_E;245;450;1000;2010;Thyr;Operational since April 2011. Supplier:Siemens;[38][39]
;;;(245/0);;;;;;[40][41]
Skagerrak 4;Denmark - Tjele 56.28_44_N 9.34_1_E;Norway - Kristiansand 58.15_36_N 7.53_55_E;244;500;700;2015;IGBT;Suppliers: Nexans, ABB;[67]
;;;(244/0);;;;;;
IFA2;France - Tourbe, Normandie;UK -Pilling, Hampshire;240;400;1000;2020;;;[96][97][98]
Fenno-Skan;Finland - Rauma 61.09_07_N 21.37_32_E;Sweden - Dannebo 60.24_14_N 18.08_10_E;233;400;500;1989;Thyr;Supplier: ABB;
;;;(200/33);;;;;;
Fenno-Skan 1 Upgrade;Sweden - Finnböle;Finland - Rauma;233;400;500;2013;Thyr;Upgrade;[50][51][52]
;;;(200/33);;;;;Supplier:ABB;
Skagerrak 1 + 2;Denmark - Tjele 56.28_44_N 9.34_1_E;Norway - Kristiansand 58.15_36_N 7.53_55_E;230;250;500;1977;Thyr;  Supplier: STK(Nexans) Control system upgrade by ABB in 2007;[32][33][34]
;;;(130/100);;;;;;
Skagerrak 3;Denmark - Tjele 56.28_44_N 9.34_1_E;Norway - Kristiansand 58.15_36_N 7.53_55_E;230;350;440;1993;Thyr;Supplier: Nexans ABB;[32]
;;;(130/100);;;;;;
SylWin1;Germany - Büttel 53.55_01_N 9.13_55_E;Germany - SylWin Alpha platform 55.03_47_N 7.14_28_E;205;±320;864;2015;IGBT;Supplier: Siemens;[68]
;;;(205/0);;;;;;
Lyon-Moutiers DC transmission scheme;France - Lyon;France - Moutiers;200;75;30;1906;Thury;Dismantled in 1936;
;;;(10/190);;;;;;
BorWin1;Germany - Diele;Germany - BorWin Alpha platform;200;±150;400;2012;IGBT;Supplier: ABB;[46][47][48]
;;;(200/0);;;;;;
BorWin2;Germany - Diele 53.7_30_N 7.18_29_E;Germany - BorWin Beta platform 54.21_18_N 6.01_30_E;200;±300;800;2015;IGBT;Supplier: Siemens;[56]
;;;(200/0);;;;;;
BorWin3;Germany - Diele;Germany - BorWin Gamma platform;200;±320;900;2019;IGBT;Supplier: Siemens;
;;;(200/0);;;;;;
France-Italy viaFréjus Road Tunnel;France, Grand-Île;Italy, Piossasco;190;±320;2x600;2019;IGBT;"Supplier: Alstom (converter stations);Prysmian (cables).";[88][89][90][91]
Konti-Skan 1;Denmark - Vester Hassing 57.3_46_N 10.5_24_E;Sweden - Stenkullen 57.48_15_N 12.19_13_E;176;250;250;1965;Merc;Replaced in August 2006 by modern converters using thyristors;[1]
;;;(87/89);;;;;;
Estlink 2;Estonia - Püssi 59.22_13_N 27.04_05_E;Finland - Anttila 60.22_36_N 25.22_01_E;171;450;650;2014;Thyr;Supplier: Siemens, Nexans;
;;;(157/14);;;;;;
Kontek;Denmark - Bjæverskov 55.27_1_N 12.0_27_E;Germany - Bentwisch 54.6_3_N 12.13_1_E;170;400;600;1996;Thyr;Supplier: ABB;
;;;(170/0);;;;;;
DolWin1;Germany - Heede 52.58_57_N 7.15_26_E;Germany - DolWin Alpha platform 53.59_42_N 6.25_16_E;165;±320;800;2015;IGBT;Supplier:ABB;[57]
;;;(165/0);;;;;;
LitPol Link HVDC is B2B;Lithuania - Alytus;Poland - Elk;160;70;500;20152[62];Thyr;Supplier: ABB;[63][64][65]
;;;(0/160);;;;;;
DolWin3;Germany - Heede 52.58_57_N 7.15_26_E;Germany - DolWin Gamma platform53.59_42_N 6.25_16_E;160;±320;900;2017;IGBT;Supplier: Alstom;[76]
;;;(160/0);;;;;;
