name,Manchester Wind,Norway Wind,Frankfurt Wind
2015-01-01 00:00:00,1328.49818283,1235.4984002,602.983725983
2015-01-01 01:00:00,2527.28384045,1117.44019331,336.130784688
2015-01-01 02:00:00,963.451562876,461.027097541,264.340683769
2015-01-01 03:00:00,1283.49773553,1200.50777209,856.064301135
2015-01-01 04:00:00,536.262878384,1102.23373142,1050.94258461
2015-01-01 05:00:00,2912.97801544,1301.03871414,129.568285808
2015-01-01 06:00:00,1712.27262638,1127.47864564,399.094103396
2015-01-01 07:00:00,1916.59050456,315.155916417,608.270013884
2015-01-01 08:00:00,2337.24190956,972.212561006,478.787992886
2015-01-01 09:00:00,1742.42784789,761.665010195,966.682462086
