name,bus,sign,control,p_min_pu_fixed,capital_cost,p_nom_extendable,dispatch,p_nom_max,p_nom,p_nom_opt,p_nom_min,p_max_pu_fixed,efficiency,source,marginal_cost,obj
1 Gas,1,1.0,PQ,0.0,0.0,False,flexible,,121.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 1 Gas
1 Hard Coal,1,1.0,PQ,0.0,0.0,False,flexible,,272.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 1 Hard Coal
100_220kV Gas,100_220kV,1.0,PQ,0.0,0.0,False,flexible,,390.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 100_220kV Gas
101 Run of River,101,1.0,PQ,0.0,0.0,False,flexible,,3.0,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 101 Run of River
102 Gas,102,1.0,PQ,0.0,0.0,False,flexible,,180.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 102 Gas
104 Brown Coal,104,1.0,PQ,0.0,0.0,False,flexible,,750.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 104 Brown Coal
104_220kV Gas,104_220kV,1.0,PQ,0.0,0.0,False,flexible,,20.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 104_220kV Gas
105 Hard Coal,105,1.0,PQ,0.0,0.0,False,flexible,,324.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 105 Hard Coal
107_220kV Gas,107_220kV,1.0,PQ,0.0,0.0,False,flexible,,27.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 107_220kV Gas
108 Waste,108,1.0,PQ,0.0,0.0,False,flexible,,38.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 108 Waste
10_220kV Hard Coal,10_220kV,1.0,PQ,0.0,0.0,False,flexible,,695.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 10_220kV Hard Coal
111 Gas,111,1.0,PQ,0.0,0.0,False,flexible,,13.5,0.0,0.0,1.0,1.0,Gas,50.0,Generator 111 Gas
114 Hard Coal,114,1.0,PQ,0.0,0.0,False,flexible,,19.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 114 Hard Coal
115 Brown Coal,115,1.0,PQ,0.0,0.0,False,flexible,,4730.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 115 Brown Coal
116 Gas,116,1.0,PQ,0.0,0.0,False,flexible,,543.3,0.0,0.0,1.0,1.0,Gas,50.0,Generator 116 Gas
118 Gas,118,1.0,PQ,0.0,0.0,False,flexible,,95.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 118 Gas
118 Waste,118,1.0,PQ,0.0,0.0,False,flexible,,12.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 118 Waste
119 Brown Coal,119,1.0,PQ,0.0,0.0,False,flexible,,9.3,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 119 Brown Coal
119 Gas,119,1.0,PQ,0.0,0.0,False,flexible,,16.9,0.0,0.0,1.0,1.0,Gas,50.0,Generator 119 Gas
12 Gas,12,1.0,PQ,0.0,0.0,False,flexible,,150.0,0.0,0.0,1.0,1.0,Gas,50.0,Generator 12 Gas
12 Hard Coal,12,1.0,PQ,0.0,0.0,False,flexible,,26.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 12 Hard Coal
121 Brown Coal,121,1.0,PQ,0.0,0.0,False,flexible,,24.6,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 121 Brown Coal
123 Brown Coal,123,1.0,PQ,0.0,0.0,False,flexible,,3455.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 123 Brown Coal
126 Brown Coal,126,1.0,PQ,0.0,0.0,False,flexible,,38.5,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 126 Brown Coal
126 Oil,126,1.0,PQ,0.0,0.0,False,flexible,,60.0,0.0,0.0,1.0,1.0,Oil,100.0,Generator 126 Oil
127 Brown Coal,127,1.0,PQ,0.0,0.0,False,flexible,,1800.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 127 Brown Coal
127 Waste,127,1.0,PQ,0.0,0.0,False,flexible,,24.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 127 Waste
128 Run of River,128,1.0,PQ,0.0,0.0,False,flexible,,16.4,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 128 Run of River
128_220kV Gas,128_220kV,1.0,PQ,0.0,0.0,False,flexible,,52.8,0.0,0.0,1.0,1.0,Gas,50.0,Generator 128_220kV Gas
128_220kV Run of River,128_220kV,1.0,PQ,0.0,0.0,False,flexible,,20.0,0.0,0.0,1.0,1.0,Run of River,3.0,Generator 128_220kV Run of River
12_220kV Waste,12_220kV,1.0,PQ,0.0,0.0,False,flexible,,30.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 12_220kV Waste
130 Hard Coal,130,1.0,PQ,0.0,0.0,False,flexible,,85.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 130 Hard Coal
130 Waste,130,1.0,PQ,0.0,0.0,False,flexible,,30.0,0.0,0.0,1.0,1.0,Waste,6.0,Generator 130 Waste
131 Gas,131,1.0,PQ,0.0,0.0,False,flexible,,586.3,0.0,0.0,1.0,1.0,Gas,50.0,Generator 131 Gas
133 Brown Coal,133,1.0,PQ,0.0,0.0,False,flexible,,137.0,0.0,0.0,1.0,1.0,Brown Coal,10.0,Generator 133 Brown Coal
133 Hard Coal,133,1.0,PQ,0.0,0.0,False,flexible,,318.0,0.0,0.0,1.0,1.0,Hard Coal,25.0,Generator 133 Hard Coal
