,snapshot,objective,stores,generators
0,2019-01-01 00:00:00,3.0,3.0,3.0
1,2019-01-01 03:00:00,3.0,3.0,3.0
2,2019-01-01 06:00:00,3.0,3.0,3.0
3,2019-01-01 09:00:00,3.0,3.0,3.0
4,2019-01-01 12:00:00,3.0,3.0,3.0
5,2019-01-01 15:00:00,3.0,3.0,3.0
6,2019-01-01 18:00:00,3.0,3.0,3.0
7,2019-01-01 21:00:00,3.0,3.0,3.0
8,2019-01-02 00:00:00,3.0,3.0,3.0
9,2019-01-02 03:00:00,3.0,3.0,3.0
10,2019-01-02 06:00:00,3.0,3.0,3.0
11,2019-01-02 09:00:00,3.0,3.0,3.0
12,2019-01-02 12:00:00,3.0,3.0,3.0
13,2019-01-02 15:00:00,3.0,3.0,3.0
14,2019-01-02 18:00:00,3.0,3.0,3.0
15,2019-01-02 21:00:00,3.0,3.0,3.0
16,2019-01-03 00:00:00,3.0,3.0,3.0
17,2019-01-03 03:00:00,3.0,3.0,3.0
18,2019-01-03 06:00:00,3.0,3.0,3.0
19,2019-01-03 09:00:00,3.0,3.0,3.0
20,2019-01-03 12:00:00,3.0,3.0,3.0
21,2019-01-03 15:00:00,3.0,3.0,3.0
22,2019-01-03 18:00:00,3.0,3.0,3.0
23,2019-01-03 21:00:00,3.0,3.0,3.0
24,2019-01-04 00:00:00,3.0,3.0,3.0
25,2019-01-04 03:00:00,3.0,3.0,3.0
26,2019-01-04 06:00:00,3.0,3.0,3.0
27,2019-01-04 09:00:00,3.0,3.0,3.0
28,2019-01-04 12:00:00,3.0,3.0,3.0
29,2019-01-04 15:00:00,3.0,3.0,3.0
30,2019-01-04 18:00:00,3.0,3.0,3.0
31,2019-01-04 21:00:00,3.0,3.0,3.0
32,2019-01-05 00:00:00,3.0,3.0,3.0
33,2019-01-05 03:00:00,3.0,3.0,3.0
34,2019-01-05 06:00:00,3.0,3.0,3.0
35,2019-01-05 09:00:00,3.0,3.0,3.0
36,2019-01-05 12:00:00,3.0,3.0,3.0
37,2019-01-05 15:00:00,3.0,3.0,3.0
38,2019-01-05 18:00:00,3.0,3.0,3.0
39,2019-01-05 21:00:00,3.0,3.0,3.0
40,2019-01-06 00:00:00,3.0,3.0,3.0
41,2019-01-06 03:00:00,3.0,3.0,3.0
42,2019-01-06 06:00:00,3.0,3.0,3.0
43,2019-01-06 09:00:00,3.0,3.0,3.0
44,2019-01-06 12:00:00,3.0,3.0,3.0
45,2019-01-06 15:00:00,3.0,3.0,3.0
46,2019-01-06 18:00:00,3.0,3.0,3.0
47,2019-01-06 21:00:00,3.0,3.0,3.0
48,2019-01-07 00:00:00,3.0,3.0,3.0
49,2019-01-07 03:00:00,3.0,3.0,3.0
50,2019-01-07 06:00:00,3.0,3.0,3.0
51,2019-01-07 09:00:00,3.0,3.0,3.0
52,2019-01-07 12:00:00,3.0,3.0,3.0
53,2019-01-07 15:00:00,3.0,3.0,3.0
54,2019-01-07 18:00:00,3.0,3.0,3.0
55,2019-01-07 21:00:00,3.0,3.0,3.0
56,2019-01-08 00:00:00,3.0,3.0,3.0
57,2019-01-08 03:00:00,3.0,3.0,3.0
58,2019-01-08 06:00:00,3.0,3.0,3.0
59,2019-01-08 09:00:00,3.0,3.0,3.0
60,2019-01-08 12:00:00,3.0,3.0,3.0
