name,Storage 0,Storage 1,Storage 2,Storage 3,Storage 4,Storage 5
2015-01-01 00:00:00,-285.589806459,-0.0,-3.98743797085e-27,1.70396043686e-27,0.0,0.0
2015-01-01 01:00:00,-48.4345980702,-0.0,0.0,3.70081369711e-28,-0.0,0.0
2015-01-01 02:00:00,-284.564242781,-0.0,-1.45150429656e-26,8.35608514942e-28,-0.0,-1.084420172e-27
2015-01-01 03:00:00,518.383809776,6.04302794122e-27,1.55392430874e-26,-5.64729350721e-28,-0.0,1.1275682841e-26
2015-01-01 04:00:00,-762.057751127,0.0,-1.20432887052e-26,0.0,0.0,0.0
2015-01-01 05:00:00,-679.794428003,0.0,-1.49336779944e-26,0.0,0.0,0.0
2015-01-01 06:00:00,-135.838146743,0.0,1.13796207413e-26,0.0,0.0,-8.11098193204e-27
2015-01-01 07:00:00,893.25304368,-0.0,3.61077639678e-27,-6.59989867937e-28,0.0,-0.0
2015-01-01 08:00:00,75.0757447551,1.25634932172e-27,-1.34802318813e-26,-1.09998311323e-27,0.0,0.0
2015-01-01 09:00:00,340.837964537,-4.66937441788e-27,2.79233374684e-26,-8.45821485604e-28,-0.0,6.31438239094e-27
