name,0,1,2,3,4,5
2015-01-01 00:00:00,552.15162372,552.15162372,552.15162372,552.15162372,552.095355875,552.122716525
2015-01-01 01:00:00,485.022786429,569.030028618,569.05306892,485.022786429,485.022786429,485.022786429
2015-01-01 02:00:00,586.248358812,1021.43650729,1021.55586445,586.202924979,586.202924979,586.202924979
2015-01-01 03:00:00,344.505207901,644.579663054,644.661963174,344.505207901,344.505207901,344.505207901
2015-01-01 04:00:00,416.824161256,779.008997349,779.108332214,416.824161256,416.824161256,416.824161256
2015-01-01 05:00:00,365.918716523,797.302702622,797.421016437,365.918716523,365.918716523,365.918716523
2015-01-01 06:00:00,442.635833044,827.303455404,827.408917013,442.635833044,442.635833044,442.635833044
2015-01-01 07:00:00,388.663230718,388.663230718,388.663230718,388.663230718,388.663230718,388.663230718
2015-01-01 08:00:00,489.418846159,489.418846159,489.418846159,489.41884616,489.418846159,489.418846159
2015-01-01 09:00:00,109.094412829,591.847119846,591.979522338,109.094412829,109.094412829,109.094412829
2015-01-01 10:00:00,94.8621527268,519.723268376,519.839793192,94.8621527268,94.8366834988,94.7824294999
2015-01-01 11:00:00,115.855397894,115.875425413,115.93589742,115.855397894,115.875425413,115.810324253
