name,Wind 0,Gas 0,Wind 1,Gas 1,Wind 2,Gas 2,Wind 3,Wind 4,Wind 5
2015-01-01 00:00:00,12.417331512,7.0,345.344279927,4.52957822415,87.8638907187,-2.57309682275e-14,96.959574832,56.1030219256,79.8913723426
2015-01-01 01:00:00,80.0632672681,7.0,288.18422741,4.52957822415,121.065779343,-2.57309682275e-14,38.7860644064,86.3541854559,3200.92492541
2015-01-01 02:00:00,55.624023399,7.0,168.792215273,192.507074526,8.98765342683,-1.09356614967e-12,12.1343455741,4.45518785448,460.541654141
2015-01-01 03:00:00,22.5709338608,7.0,881.952221916,4.52957822415,83.9575473081,-2.57309682275e-14,1.25559801591,7.19742796895,4144.14298469
2015-01-01 04:00:00,56.810046192,7.0,251.469412491,4.52957822415,37.8488616855,-2.57309682275e-14,74.3825854075,19.5429481109,2490.74069666
2015-01-01 05:00:00,97.0019989088,7.0,1047.50923732,4.52957822415,35.9771638722,-2.57309682275e-14,49.3769714269,61.9955718381,3551.63800949
2015-01-01 06:00:00,15.6791394646,7.0,22.9783674585,166.637849802,10.5033215579,8.60304681255e-13,48.6345110937,60.6329461653,2437.15432624
2015-01-01 07:00:00,31.7362409322,7.0,1222.89718074,4.52957822415,86.9617828869,-2.57309682275e-14,38.0141172624,55.0948219118,3193.26789801
2015-01-01 08:00:00,66.9232893453,7.0,327.699864848,4.52957822415,9.95022516426,-2.57309682275e-14,37.0084197914,62.9717507022,900.457420222
2015-01-01 09:00:00,75.2755553739,7.0,82.3042139266,4.52957822415,39.0472647869,-2.57309682275e-14,80.4754563743,19.3434282623,2739.66935951
2015-01-01 10:00:00,52.4670309124,7.0,1143.96781266,4.52957822415,39.4945155731,-2.57309682275e-14,6.5961090684,73.5065963289,3308.27506558
2015-01-01 11:00:00,90.7815852504,7.0,1152.82965068,4.52957822415,2.09273594634,-2.57309682275e-14,23.4362086121,61.6778357002,4065.91085273
