name,TL 0,TL 1
2015-01-01 00:00:00,-689.180710515396,-270.0
2015-01-01 01:00:00,-877.666524516496,-270.0
2015-01-01 02:00:00,-1152.31511543227,-270.0
2015-01-01 03:00:00,-638.197651436202,-270.0
2015-01-01 04:00:00,-1089.88633212686,-270.0
2015-01-01 05:00:00,-594.354756515065,-270.0
2015-01-01 06:00:00,-697.625210969583,-270.0
2015-01-01 07:00:00,0.0,-172.860989367677
2015-01-01 08:00:00,-879.682110743116,-270.0
2015-01-01 09:00:00,-360.362702065057,-270.0
2015-01-01 10:00:00,-964.636809665452,-270.0
2015-01-01 11:00:00,-200.575225586924,-231.062358344312
