attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
co2_emissions,float,tonnes/MWh,0,Emissions in tCO~2~ per MWh of primary energy (e.g. methane has 0.2 tCO~2~/MWh~thermal~).,Input (optional)
color,string,n/a,n/a,Color for plotting (e.g. `matplotlib` [named colors](https://matplotlib.org/stable/gallery/color/named_colors.html) or hexadecimal color codes like "#AB9812"),Input (optional)
nice_name,string,n/a,n/a,Descriptive name for statistics and visualisations (e.g. "Natural Gas" for carrier `gas`),Input (optional)
max_growth,float,MW,inf,Maximum new installed capacity per investment period,Input (optional)
max_relative_growth,float,nan,0,Maximum capacity ratio for new installed capacity per investment period,Input (optional)
learning_rate,float,per unit,0,"Endogenous learning rate: relative capital cost reduction per doubling of cumulative installed capacity. A value of 0 disables learning for the carrier.",Input (optional)
initial_cost,float,currency/MW,0,"Only used with endogenous learning. Specific investment cost at the initial (global) capacity, i.e. the starting point of the learning curve.",Input (optional)
global_capacity,float,MW,0,"Only used with endogenous learning. Cumulative capacity already installed today, used as the lower bound and reference point of the learning curve.",Input (optional)
max_capacity,float,MW,0,"Only used with endogenous learning. Maximum cumulative installable capacity, i.e. the end point of the piecewise linearisation of the learning curve.",Input (optional)
