attribute,type,dtype,unit,default,description,status,dynamic,nullable
name,string,str,,,Unique name,Input (required),False,False
bus0,string,str,,,Name of first bus to which process is attached.,Input (required),False,False
bus1,string,str,,,"Name of second bus to which process is attached. Further buses (`bus2`, `bus3`, etc.) are automatically expanded as needed.",Input (required),False,False
type,string,str,,,Placeholder for process type. Not implemented.,Input (optional),False,True
carrier,string,str,,,"Carrier of the process describing its technology (e.g. gas boiler, electrolyser, HVDC process).",Input (optional),False,True
rate0,static or series,float,per unit,-1,"Rate of energy transfer at `bus0` relative to internal power `p`. Can be time-dependent (e.g. to represent temperature-dependent heat pump COP).  `Rate`s for further buses (e.g. `bus2`, `bus3`, etc.) are automatically expanded as needed (e.g. `rate2`, `rate3`, etc.).",Input (optional),True,False
rate1,static or series,float,per unit,1,"Rate of energy transfer at `bus1` relative to internal power `p`. Can be time-dependent (e.g. to represent temperature-dependent heat pump COP).  `Rate`s for further buses (e.g. `bus2`, `bus3`, etc.) are automatically expanded as needed (e.g. `rate2`, `rate3`, etc.).",Input (optional),True,False
active,boolean,bool,,True,Whether to consider the component in basic functionality or not,Input (optional),False,False
build_year,int,int,year,0,Build year,Input (optional),False,False
lifetime,float,float,years,inf,Lifetime,Input (optional),False,False
p_nom,float,float,MW,0,Limit of power which can pass through process (in units of `bus0`). Ignored if `p_nom_extendable=True`.,Input (optional),False,False
p_nom_mod,float,float,MW,0,Unit size of process module (e.g. fixed blocks of 100 MW).,Input (optional),False,False
p_nom_extendable,boolean,bool,,False,Switch to allow capacity `p_nom` to be extended.,Input (optional),False,False
p_nom_min,float,float,MW,0,"If `p_nom_extendable=True`, set its minimum value.",Input (optional),False,False
p_nom_max,float,float,MW,inf,"If `p_nom_extendable=True`, set its maximum value.",Input (optional),False,False
p_nom_set,float,float,MW,,"If `p_nom` is extendable in optimization, set its value.",Input (optional),False,True
p_set,static or series,float,MW,,The dispatch set point for `p0` of the process (for optimisation and power flow).,Input (optional),True,True
p_init,float,float,MW,,Active power used as a starting point for limiting the ramp in the very first snapshot (for optimisation),Input (optional),False,True
p_min_pu,static or series,float,per unit of p_nom,0.,Minimal dispatch per unit of `p_nom` for the process. Can also be negative.,Input (optional),True,False
p_max_pu,static or series,float,per unit of p_nom,1.,Maximal dispatch per unit of `p_nom` for the process. Can also be negative.,Input (optional),True,False
capital_cost,float,float,currency/MW,0,"Fixed period costs of extending `p_nom` by 1 MW (unit of `bus0`, e.g. annuitized investment costs). Used directly unless `overnight_cost` is specified. Any `length` factor must already be included.",Input (optional),False,False
overnight_cost,float,float,currency/MW,,"Overnight (upfront) investment cost per MW (unit of `bus0`). If specified, PyPSA calculates annuity using `discount_rate` and `lifetime`. Takes precedence over `capital_cost`.",Input (optional),False,True
discount_rate,float,float,per unit,,Discount rate for annuity calculation when using `overnight_cost`. Supports 0% rate (simple depreciation).,Input (optional),False,True
fom_cost,float,float,currency/MW,0,"Fixed period operation and maintenance costs per MW (unit of `bus0`), added to annuitized investment cost.",Input (optional),False,False
marginal_cost,static or series,float,currency/MWh,0.,Marginal cost of 1 MWh consumption from `bus0` (e.g. including variable operation and maintenance costs of an electrolyser but excluding electricity costs).,Input (optional),True,False
marginal_cost_quadratic,static or series,float,currency/MWh,0.,Quadratic marginal cost for 1 MWh of consumption from `bus0`.,Input (optional),True,False
stand_by_cost,static or series,float,currency/h,0.,Stand-by cost for operating the process. This cost is incurred whenever the status is 1 (including when dispatch decision is zero).,Input (optional),True,False
length,float,float,km,0,Length of the process. Useful for calculating `capital_cost` for HVDC connections.,Input (optional),False,False
terrain_factor,float,float,per unit,1,Terrain factor for increasing `capital_cost` calculated from `length`.,Input (optional),False,False
committable,boolean,bool,,False,Apply unit commitment constraints. This is only possible with `p_nom_extendable=False`.,Input (optional),False,False
start_up_cost,float,float,currency,0,Cost to start up the process. Only used if `committable=True`.,Input (optional),False,False
shut_down_cost,float,float,currency,0,Cost to shut down the process. Only used if `committable=True`.,Input (optional),False,False
min_up_time,int,int,snapshots,0,Minimum number of snapshots for status to be 1.  Only used if `committable=True`. Does not consider snapshot weightings.,Input (optional),False,False
min_down_time,int,int,snapshots,0,Minimum number of snapshots for status to be 0.  Only used if `committable=True`. Does not consider snapshot weightings.,Input (optional),False,False
up_time_before,int,int,snapshots,1,Number of snapshots that the process was online before network.snapshots start. Only read if `committable=True` and `min_up_time>0`. Does not consider snapshot weightings.,Input (optional),False,False
down_time_before,int,int,snapshots,0,Number of snapshots that the process was offline before network.snapshots start. Only read if `committable=True` and `min_down_time>0`. Does not consider snapshot weightings.,Input (optional),False,False
ramp_limit_up,static or series,float,per unit,,"Maximum increase from one snapshot to the next, per unit of `p_nom`. Ignored if NaN. Does not consider snapshot weightings.",Input (optional),True,True
ramp_limit_down,static or series,float,per unit,,"Maximum decrease from one snapshot to the next, per unit of `p_nom`. Ignored if NaN. Does not consider snapshot weightings.",Input (optional),True,True
ramp_limit_start_up,float,float,per unit,,"Maximum increase at start up, per unit of `p_nom`. Only used if `committable=True`. Ignored if NaN.",Input (optional),False,True
ramp_limit_shut_down,float,float,per unit,,"Maximum decrease at shut down, per unit of `p_nom`. Only used if `committable=True`. Ignored if NaN.",Input (optional),False,True
delay0,int,int,snapshot weighting units,0,"Delay of energy delivery to `bus0` in units of `n.snapshot_weightings.generators`. Energy withdrawn at snapshot `t` arrives at the first snapshot whose cumulative generator weighting start is at least `delay0` units later. Auto-expanded as `delay2`, `delay3`, etc. for additional ports.",Input (optional),False,False
cyclic_delay0,boolean,bool,,True,"Whether delayed energy wraps cyclically from end to start of the optimization period. If False, energy is lost at the tail and first snapshots receive nothing from delayed processes. Auto-expanded as `cyclic_delay2`, `cyclic_delay3`, etc. for additional ports.",Input (optional),False,False
delay1,int,int,snapshot weighting units,0,"Delay of energy delivery to `bus1` in units of `n.snapshot_weightings.generators`. Energy withdrawn at snapshot `t` arrives at the first snapshot whose cumulative generator weighting start is at least `delay1` units later. Auto-expanded as `delay2`, `delay3`, etc. for additional ports.",Input (optional),False,False
cyclic_delay1,boolean,bool,,True,"Whether delayed energy wraps cyclically from end to start of the optimization period. If False, energy is lost at the tail and first snapshots receive nothing from delayed processes. Auto-expanded as `cyclic_delay2`, `cyclic_delay3`, etc. for additional ports.",Input (optional),False,False
p,series,float,MW,0.,Power in component.,Output,True,False
p0,series,float,MW,0.,Power at `bus0` (positive if process is withdrawing from `bus0`).,Output,True,False
p1,series,float,MW,0.,Power at `bus1` (positive if process is withdrawing from `bus1`).,Output,True,False
p_nom_opt,float,float,MW,0,Optimised nominal capacity.,Output,False,False
status,series,float,,1.,"Status in the snapshot (1 is on, 0 is off). Only returned if `committable=True`.",Output,True,False
start_up,series,float,,1.,"Whether the unit was started in the snapshot (1 is yes, 0 is no). Only returned if `committable=True`.",Output,True,False
shut_down,series,float,,1.,"Whether the unit was shut down in the snapshot (1 is yes, 0 is no).  Only returned if `committable=True`.",Output,True,False
mu_lower,series,float,currency/MW,,Shadow price of lower `p_nom` limit  $-F \\leq f$. Always non-negative.,Output,True,True
mu_upper,series,float,currency/MW,,Shadow price of upper `p_nom` limit $f \\leq F$. Always non-negative.,Output,True,True
mu_p_set,series,float,currency/MWh,,Shadow price of fixed dispatch `p_set`,Output,True,True
mu_ramp_limit_up,series,float,currency/MWh,,Shadow price of upper ramp up limit,Output,True,True
mu_ramp_limit_down,series,float,currency/MWh,,Shadow price of lower ramp down limit,Output,True,True
