attribute,status,dynamic,type,nullable,unit,default,description
name,required,False,str,True,,,Unique name
bus0,required,False,str,True,,,Name of first bus to which link is attached.
bus1,required,False,str,True,,,Name of other bus to which link is attached.
type,configurable,False,str,True,,,Placeholder for link type. Not yet implemented.
carrier,configurable,False,str,True,,,"Energy carrier transported by the link: can be ""DC"" for electrical HVDC links, or ""heat"" or ""gas"" etc."
efficiency,configurable,True,float,True,per unit,1.0,Efficiency of power transfer from bus0 to bus1. (Can be time-dependent to represent temperature-dependent Coefficient of Performance of a heat pump from an electric to a heat bus.)
active,configurable,False,bool,False,,True,Whether to consider the component in basic functionality or not
build_year,configurable,False,int,True,year,0,build year
lifetime,configurable,False,float,True,years,inf,lifetime
p_nom,configurable,False,float,True,MW,0.0,Limit of active power which can pass through link.
p_nom_mod,configurable,False,float,True,MW,0.0,Limit of active power of the link module.
p_nom_extendable,configurable,False,bool,False,,False,Switch to allow capacity p_nom to be extended.
p_nom_min,configurable,False,float,True,MW,0.0,"If p_nom is extendable, set its minimum value."
p_nom_max,configurable,False,float,True,MW,inf,"If p_nom is extendable, set its maximum value (e.g. limited by potential)."
p_set,configurable,True,float,True,MW,0.0,The dispatch set point for p0 of the link in PF.
p_min_pu,configurable,True,float,True,per unit of p_nom,0.0,Minimal dispatch (can also be negative) per unit of p_nom for the link.
p_max_pu,configurable,True,float,True,per unit of p_nom,1.0,Maximal dispatch (can also be negative) per unit of p_nom for the link.
capital_cost,configurable,False,float,True,currency/MW,0.0,"Fixed period costs of extending p_nom by 1 MW, including periodized investment costs and periodic fixed O&M costs (e.g. annuitized investment costs)."
marginal_cost,configurable,True,float,True,currency/MWh,0.0,Marginal cost of transfering 1 MWh (before efficiency losses) from bus0 to bus1. NB: marginal cost only makes sense if p_max_pu >= 0.
marginal_cost_quadratic,configurable,True,float,True,currency/MWh,0.0,Quadratic marginal cost for transferring 1 MWh (before efficiency losses) from bus0 to bus1.
stand_by_cost,configurable,True,float,True,currency/h,0.0,Stand-by cost for operating the link at null power flow.
length,configurable,False,float,True,km,0.0,"Length of line, useful for calculating the capital cost."
terrain_factor,configurable,False,float,True,per unit,1.0,Terrain factor for increasing capital cost.
committable,configurable,False,bool,False,,False,Use unit commitment (only possible if p_nom is not extendable).
start_up_cost,configurable,False,float,True,currency,0.0,Cost to start up the link. Only read if committable is True.
shut_down_cost,configurable,False,float,True,currency,0.0,Cost to shut down the link. Only read if committable is True.
min_up_time,configurable,False,int,True,snapshots,0,Minimum number of snapshots for status to be 1.  Only read if committable is True.
min_down_time,configurable,False,int,True,snapshots,0,Minimum number of snapshots for status to be 0.  Only read if committable is True.
up_time_before,configurable,False,int,True,snapshots,1,Number of snapshots that the link was online before network.snapshots start. Only read if committable is True and min_up_time is non-zero.
down_time_before,configurable,False,int,True,snapshots,0,Number of snapshots that the link was offline before network.snapshots start. Only read if committable is True and min_down_time is non-zero.
ramp_limit_up,configurable,True,float,True,per unit,,"Maximum increase from one snapshot to the next, per unit of the bus0 unit. Ignored if NaN."
ramp_limit_down,configurable,True,float,True,per unit,,"Maximum decrease from one snapshot to the next, per unit of the bus0 unit. Ignored if NaN."
ramp_limit_start_up,configurable,False,float,True,per unit,1.0,"Maximumincrease at start up, per unit of bus0 unit.   Only read if committable is True."
ramp_limit_shut_down,configurable,False,float,True,per unit,1.0,"Maximum decrease at shut down, per unit of bus0 unit.   Only read if committable is True."
p0,output,True,float,True,MW,0.0,Active power at bus0 (positive if branch is withdrawing power from bus0).
p1,output,True,float,True,MW,0.0,Active power at bus1 (positive if branch is withdrawing power from bus1).
p_nom_opt,output,False,float,True,MW,0.0,Optimised capacity for active power.
status,output,True,float,True,,1.0,"Status (1 is on, 0 is off). Only outputted if committable is True."
mu_lower,output,True,float,True,currency/MW,0.0,Shadow price of lower p_nom limit  -F \leq f. Always non-negative.
mu_upper,output,True,float,True,currency/MW,0.0,Shadow price of upper p_nom limit f \leq F. Always non-negative.
mu_p_set,output,True,float,True,currency/MWh,0.0,Shadow price of fixed power transmission p_set
mu_ramp_limit_up,output,True,float,True,currency/MWh,0.0,Shadow price of upper ramp up limit
mu_ramp_limit_down,output,True,float,True,currency/MWh,0.0,Shadow price of lower ramp down limit
