attribute,type,dtype,unit,default,description,status,dynamic,nullable
name,string,str,,,Unique name,Input (required),False,False
f_nom,float,float,Hz,50.0,Nominal frequency,Input (required),False,False
s_nom,float,float,MVA,0.0,Rated apparent power,Input (required),False,False
v_nom_0,float,float,kV,0.0,Nominal voltage on high voltage side,Input (required),False,False
v_nom_1,float,float,kV,0.0,Nominal voltage on low voltage side,Input (required),False,False
vsc,float,float,Percent,0.0,Short circuit voltage,Input (required),False,False
vscr,float,float,Percent,0.0,Real part of short circuit voltage,Input (required),False,False
pfe,float,float,kW,0.0,No load (open circuit) iron losses,Input (required),False,False
i0,float,float,Percent,0.0,No load (open circuit) current,Input (required),False,False
phase_shift,float,float,Degrees,0.0,Phase shift angle,Input (required),False,False
tap_side,int,int,,0.0,"Defines if tap changer is modelled at the primary 0 side (usually high-voltage) or the secondary 1 side (usually low voltage) (must be 0 or 1, defaults to 0)",Input (required),False,False
tap_neutral,int,int,,0.0,"Rated tap position, i.e. position at which the winding ratio corresponds to the ratio of the rated voltages",Input (required),False,False
tap_min,int,int,,0.0,Minimum tap position,Input (required),False,False
tap_max,int,int,,0.0,Maximum tap position,Input (required),False,False
tap_step,float,float,Percent,0.0,Tap step size in percentage of voltage change,Input (required),False,False
references,string,str,,,References for electrical parameters,Input (optional),False,True
