snapshots,Norwich Converter,Norway Converter,Bremen Converter
2015-01-01 00:00:00,35.7962441027,415.4625642653,-451.258808368
2015-01-01 01:00:00,976.8245614698,262.6061464526,-1239.4307079224
2015-01-01 02:00:00,250.5873120464,418.4763531902,-669.0636652366
2015-01-01 03:00:00,130.7531445827,552.9595393098,-683.7126838925
2015-01-01 04:00:00,151.1001686,218.159858091,-369.260026691
2015-01-01 05:00:00,931.857051942,791.9762655836,-1723.8333175256
2015-01-01 06:00:00,289.8482871447,531.8706808219,-821.7189679666
2015-01-01 07:00:00,864.3433217147,23.5134667186,-887.8567884333
2015-01-01 08:00:00,689.5772637703,970.0590684572,-1659.6363322275
2015-01-01 09:00:00,627.8789859434,0.9248336907,-628.8038196341
