snapshot,VIC,SA,NSW
2011-01-01 00:00:00,5113.93,1358.385,9357.435
2011-01-01 01:00:00,5147.425,1383.295,9635.54
2011-01-01 02:00:00,5079.465,1387.2150000000001,9832.175
2011-01-01 03:00:00,5063.425,1344.635,9983.31
2011-01-01 04:00:00,5133.52,1325.155,10125.235
2011-01-01 05:00:00,5177.725,1331.215,10191.095000000001
2011-01-01 06:00:00,5229.975,1359.505,10096.71
2011-01-01 07:00:00,5133.635,1393.0,9753.490000000002
2011-01-01 08:00:00,5021.055,1331.255,9359.735
2011-01-01 09:00:00,5046.115,1323.495,9235.16
2011-01-01 10:00:00,4990.46,1350.115,8838.175
2011-01-01 11:00:00,4748.5,1313.0700000000002,8399.95
2011-01-01 12:00:00,4753.675,1262.805,7758.254999999999
2011-01-01 13:00:00,4613.51,1390.955,7266.545
2011-01-01 14:00:00,4552.29,1278.47,6847.935
2011-01-01 15:00:00,4421.764999999999,1111.115,6434.299999999999
2011-01-01 16:00:00,4172.225,1048.62,6285.754999999999
2011-01-01 17:00:00,4099.105,1017.6949999999999,6249.139999999999
2011-01-01 18:00:00,4086.12,1048.3449999999998,6271.245
2011-01-01 19:00:00,4163.3,1009.495,6487.07
2011-01-01 20:00:00,4377.51,1030.1399999999999,7073.045
2011-01-01 21:00:00,4550.035,1053.19,7775.625
2011-01-01 22:00:00,4753.135,1105.935,8431.64
2011-01-01 23:00:00,4815.995,1144.85,8786.57
2011-01-02 00:00:00,4877.24,1155.335,8994.765
2011-01-02 01:00:00,4896.86,1179.615,9158.485
2011-01-02 02:00:00,4843.735000000001,1200.4050000000002,9276.525
2011-01-02 03:00:00,4822.225,1248.4,9333.505000000001
2011-01-02 04:00:00,4857.595,1237.2849999999999,9232.52
2011-01-02 05:00:00,4913.355,1258.56,8773.7
2011-01-02 06:00:00,4955.865,1301.3400000000001,8576.494999999999
2011-01-02 07:00:00,4877.005,1309.44,8439.404999999999
2011-01-02 08:00:00,4717.405000000001,1264.525,8207.345
2011-01-02 09:00:00,4841.885,1251.13,8103.88
2011-01-02 10:00:00,4856.46,1273.2150000000001,7787.55
2011-01-02 11:00:00,4632.0599999999995,1223.525,7602.6
