,VIC,VIC,SA,SA,NSW,NSW
,onwind,solar,onwind,solar,onwind,solar
2011-01-01 00:00:00,0.214,0.504,0.239,0.401,0.141,0.515
2011-01-01 01:00:00,0.197,0.588,0.244,0.504,0.098,0.597
2011-01-01 02:00:00,0.215,0.613,0.232,0.568,0.068,0.644
2011-01-01 03:00:00,0.245,0.632,0.218,0.612,0.06,0.639
2011-01-01 04:00:00,0.268,0.612,0.222,0.608,0.059,0.602
2011-01-01 05:00:00,0.297,0.52,0.243,0.556,0.067,0.523
2011-01-01 06:00:00,0.314,0.42,0.273,0.469,0.084,0.404
2011-01-01 07:00:00,0.3,0.292,0.316,0.342,0.112,0.254
2011-01-01 08:00:00,0.271,0.125,0.377,0.188,0.155,0.08
2011-01-01 09:00:00,0.213,0.032,0.444,0.05,0.208,0.019
2011-01-01 10:00:00,0.202,0.0,0.529,0.006,0.291,0.0
2011-01-01 11:00:00,0.187,0.0,0.564,0.0,0.316,0.0
2011-01-01 12:00:00,0.179,0.0,0.585,0.0,0.325,0.0
2011-01-01 13:00:00,0.178,0.0,0.588,0.0,0.32,0.0
2011-01-01 14:00:00,0.179,0.0,0.585,0.0,0.309,0.0
2011-01-01 15:00:00,0.173,0.0,0.572,0.0,0.295,0.0
2011-01-01 16:00:00,0.165,0.0,0.545,0.0,0.286,0.0
2011-01-01 17:00:00,0.159,0.0,0.51,0.0,0.28,0.0
2011-01-01 18:00:00,0.153,0.0,0.484,0.0,0.266,0.0
2011-01-01 19:00:00,0.151,0.0,0.461,0.0,0.246,0.0
2011-01-01 20:00:00,0.144,0.005,0.448,0.0,0.213,0.006
2011-01-01 21:00:00,0.131,0.077,0.422,0.015,0.149,0.082
2011-01-01 22:00:00,0.158,0.219,0.393,0.113,0.121,0.226
2011-01-01 23:00:00,0.154,0.36,0.355,0.265,0.114,0.379
2011-01-02 00:00:00,0.16,0.501,0.311,0.408,0.098,0.505
2011-01-02 01:00:00,0.169,0.596,0.274,0.519,0.081,0.576
2011-01-02 02:00:00,0.18,0.657,0.247,0.594,0.074,0.603
2011-01-02 03:00:00,0.191,0.679,0.237,0.624,0.076,0.595
2011-01-02 04:00:00,0.206,0.668,0.242,0.617,0.088,0.561
2011-01-02 05:00:00,0.21,0.605,0.255,0.569,0.102,0.47
2011-01-02 06:00:00,0.221,0.498,0.292,0.48,0.114,0.361
2011-01-02 07:00:00,0.232,0.34,0.349,0.341,0.133,0.234
2011-01-02 08:00:00,0.237,0.148,0.415,0.182,0.153,0.088
2011-01-02 09:00:00,0.237,0.03,0.485,0.051,0.183,0.02
2011-01-02 10:00:00,0.265,0.0,0.563,0.007,0.251,0.0
2011-01-02 11:00:00,0.278,0.0,0.624,0.0,0.286,0.0
2011-01-02 12:00:00,0.276,0.0,0.657,0.0,0.306,0.0
2011-01-02 13:00:00,0.275,0.0,0.662,0.0,0.312,0.0
2011-01-02 14:00:00,0.272,0.0,0.636,0.0,0.301,0.0
2011-01-02 15:00:00,0.265,0.0,0.593,0.0,0.292,0.0
2011-01-02 16:00:00,0.263,0.0,0.539,0.0,0.285,0.0
2011-01-02 17:00:00,0.252,0.0,0.483,0.0,0.274,0.0
2011-01-02 18:00:00,0.235,0.0,0.447,0.0,0.269,0.0
2011-01-02 19:00:00,0.212,0.0,0.424,0.0,0.261,0.0
2011-01-02 20:00:00,0.192,0.005,0.413,0.0,0.246,0.005
2011-01-02 21:00:00,0.167,0.081,0.382,0.015,0.202,0.072
2011-01-02 22:00:00,0.185,0.23,0.387,0.113,0.177,0.205
2011-01-02 23:00:00,0.167,0.381,0.332,0.263,0.156,0.349
2011-01-03 00:00:00,0.149,0.512,0.282,0.408,0.148,0.47
2011-01-03 01:00:00,0.14,0.614,0.237,0.515,0.146,0.544
2011-01-03 02:00:00,0.14,0.68,0.211,0.585,0.145,0.594
2011-01-03 03:00:00,0.145,0.698,0.207,0.612,0.149,0.596
2011-01-03 04:00:00,0.154,0.683,0.218,0.601,0.163,0.566
2011-01-03 05:00:00,0.174,0.624,0.238,0.553,0.186,0.484
2011-01-03 06:00:00,0.204,0.514,0.274,0.461,0.226,0.376
2011-01-03 07:00:00,0.241,0.35,0.317,0.329,0.27,0.235
2011-01-03 08:00:00,0.268,0.152,0.374,0.174,0.305,0.088
2011-01-03 09:00:00,0.264,0.031,0.429,0.055,0.337,0.019
2011-01-03 10:00:00,0.268,0.0,0.461,0.005,0.417,0.0
2011-01-03 11:00:00,0.278,0.0,0.492,0.0,0.442,0.0
2011-01-03 12:00:00,0.263,0.0,0.489,0.0,0.443,0.0
2011-01-03 13:00:00,0.243,0.0,0.46,0.0,0.43,0.0
2011-01-03 14:00:00,0.212,0.0,0.422,0.0,0.408,0.0
2011-01-03 15:00:00,0.177,0.0,0.39,0.0,0.383,0.0
2011-01-03 16:00:00,0.159,0.0,0.367,0.0,0.357,0.0
2011-01-03 17:00:00,0.146,0.0,0.343,0.0,0.33,0.0
2011-01-03 18:00:00,0.134,0.0,0.317,0.0,0.31,0.0
2011-01-03 19:00:00,0.131,0.0,0.292,0.0,0.284,0.0
2011-01-03 20:00:00,0.13,0.005,0.278,0.0,0.258,0.005
2011-01-03 21:00:00,0.095,0.088,0.252,0.016,0.195,0.073
2011-01-03 22:00:00,0.087,0.256,0.196,0.078,0.131,0.209
2011-01-03 23:00:00,0.076,0.429,0.182,0.163,0.106,0.351
2011-01-04 00:00:00,0.079,0.566,0.164,0.249,0.088,0.47
2011-01-04 01:00:00,0.087,0.651,0.157,0.313,0.067,0.536
2011-01-04 02:00:00,0.102,0.707,0.157,0.349,0.057,0.573
2011-01-04 03:00:00,0.122,0.712,0.164,0.377,0.054,0.569
2011-01-04 04:00:00,0.146,0.674,0.17,0.367,0.061,0.528
2011-01-04 05:00:00,0.163,0.607,0.179,0.326,0.075,0.466
2011-01-04 06:00:00,0.176,0.495,0.196,0.268,0.096,0.366
2011-01-04 07:00:00,0.186,0.338,0.213,0.216,0.116,0.238
2011-01-04 08:00:00,0.2,0.151,0.223,0.136,0.129,0.099
2011-01-04 09:00:00,0.212,0.044,0.221,0.043,0.142,0.03
2011-01-04 10:00:00,0.247,0.0,0.202,0.006,0.186,0.0
2011-01-04 11:00:00,0.262,0.0,0.192,0.0,0.194,0.0
2011-01-04 12:00:00,0.276,0.0,0.173,0.0,0.19,0.0
2011-01-04 13:00:00,0.279,0.0,0.151,0.0,0.172,0.0
2011-01-04 14:00:00,0.263,0.0,0.132,0.0,0.162,0.0
2011-01-04 15:00:00,0.242,0.0,0.113,0.0,0.157,0.0
2011-01-04 16:00:00,0.213,0.0,0.095,0.0,0.15,0.0
2011-01-04 17:00:00,0.185,0.0,0.084,0.0,0.135,0.0
2011-01-04 18:00:00,0.169,0.0,0.079,0.0,0.116,0.0
2011-01-04 19:00:00,0.164,0.0,0.079,0.0,0.1,0.0
2011-01-04 20:00:00,0.155,0.007,0.08,0.0,0.09,0.007
2011-01-04 21:00:00,0.133,0.074,0.072,0.013,0.058,0.074
2011-01-04 22:00:00,0.11,0.202,0.052,0.106,0.037,0.194
2011-01-04 23:00:00,0.119,0.348,0.045,0.258,0.04,0.325
2011-01-05 00:00:00,0.141,0.476,0.044,0.405,0.059,0.428
2011-01-05 01:00:00,0.159,0.579,0.044,0.52,0.073,0.492
2011-01-05 02:00:00,0.17,0.634,0.052,0.601,0.083,0.529
2011-01-05 03:00:00,0.174,0.667,0.066,0.634,0.092,0.542
2011-01-05 04:00:00,0.172,0.645,0.085,0.623,0.107,0.509
2011-01-05 05:00:00,0.173,0.577,0.105,0.575,0.127,0.464
2011-01-05 06:00:00,0.176,0.483,0.125,0.491,0.146,0.359
2011-01-05 07:00:00,0.192,0.33,0.15,0.373,0.172,0.239
2011-01-05 08:00:00,0.227,0.15,0.178,0.21,0.188,0.09
2011-01-05 09:00:00,0.248,0.031,0.215,0.051,0.193,0.021
2011-01-05 10:00:00,0.212,0.0,0.246,0.007,0.182,0.0
2011-01-05 11:00:00,0.246,0.0,0.293,0.0,0.221,0.0
2011-01-05 12:00:00,0.261,0.0,0.317,0.0,0.248,0.0
2011-01-05 13:00:00,0.253,0.0,0.315,0.0,0.253,0.0
2011-01-05 14:00:00,0.241,0.0,0.307,0.0,0.25,0.0
2011-01-05 15:00:00,0.204,0.0,0.301,0.0,0.239,0.0
2011-01-05 16:00:00,0.152,0.0,0.296,0.0,0.224,0.0
2011-01-05 17:00:00,0.129,0.0,0.302,0.0,0.204,0.0
2011-01-05 18:00:00,0.134,0.0,0.306,0.0,0.194,0.0
2011-01-05 19:00:00,0.132,0.0,0.317,0.0,0.189,0.0
2011-01-05 20:00:00,0.129,0.005,0.323,0.0,0.178,0.004
2011-01-05 21:00:00,0.098,0.078,0.333,0.015,0.133,0.069
2011-01-05 22:00:00,0.106,0.235,0.324,0.113,0.08,0.205
2011-01-05 23:00:00,0.103,0.402,0.287,0.26,0.069,0.358
2011-01-06 00:00:00,0.095,0.541,0.331,0.4,0.06,0.479
2011-01-06 01:00:00,0.099,0.636,0.367,0.501,0.055,0.548
2011-01-06 02:00:00,0.129,0.689,0.359,0.568,0.058,0.581
2011-01-06 03:00:00,0.165,0.7,0.311,0.583,0.062,0.589
2011-01-06 04:00:00,0.198,0.665,0.253,0.565,0.066,0.558
2011-01-06 05:00:00,0.235,0.597,0.193,0.515,0.072,0.476
2011-01-06 06:00:00,0.269,0.483,0.15,0.42,0.081,0.379
2011-01-06 07:00:00,0.29,0.33,0.126,0.297,0.094,0.251
2011-01-06 08:00:00,0.295,0.149,0.11,0.168,0.108,0.096
2011-01-06 09:00:00,0.31,0.046,0.104,0.057,0.131,0.02
2011-01-06 10:00:00,0.359,0.0,0.118,0.005,0.175,0.0
2011-01-06 11:00:00,0.399,0.0,0.164,0.0,0.233,0.0
2011-01-06 12:00:00,0.443,0.0,0.205,0.0,0.298,0.0
2011-01-06 13:00:00,0.503,0.0,0.225,0.0,0.357,0.0
2011-01-06 14:00:00,0.546,0.0,0.224,0.0,0.403,0.0
2011-01-06 15:00:00,0.541,0.0,0.228,0.0,0.433,0.0
2011-01-06 16:00:00,0.532,0.0,0.239,0.0,0.465,0.0
2011-01-06 17:00:00,0.521,0.0,0.241,0.0,0.486,0.0
2011-01-06 18:00:00,0.51,0.0,0.234,0.0,0.488,0.0
2011-01-06 19:00:00,0.509,0.0,0.219,0.0,0.461,0.0
2011-01-06 20:00:00,0.534,0.007,0.203,0.0,0.434,0.005
2011-01-06 21:00:00,0.529,0.073,0.18,0.011,0.349,0.072
2011-01-06 22:00:00,0.485,0.173,0.229,0.068,0.335,0.206
2011-01-06 23:00:00,0.448,0.284,0.18,0.161,0.322,0.348
2011-01-07 00:00:00,0.445,0.395,0.192,0.27,0.28,0.461
2011-01-07 01:00:00,0.44,0.484,0.19,0.361,0.226,0.538
2011-01-07 02:00:00,0.422,0.551,0.168,0.43,0.161,0.564
2011-01-07 03:00:00,0.38,0.588,0.146,0.477,0.128,0.555
2011-01-07 04:00:00,0.344,0.581,0.132,0.476,0.118,0.51
2011-01-07 05:00:00,0.313,0.539,0.128,0.43,0.119,0.444
2011-01-07 06:00:00,0.301,0.451,0.136,0.352,0.127,0.337
2011-01-07 07:00:00,0.3,0.319,0.148,0.281,0.137,0.221
2011-01-07 08:00:00,0.317,0.148,0.173,0.16,0.154,0.098
2011-01-07 09:00:00,0.376,0.035,0.211,0.049,0.184,0.026
2011-01-07 10:00:00,0.44,0.0,0.29,0.006,0.214,0.0
2011-01-07 11:00:00,0.485,0.0,0.324,0.0,0.293,0.0
2011-01-07 12:00:00,0.474,0.0,0.339,0.0,0.352,0.0
2011-01-07 13:00:00,0.465,0.0,0.358,0.0,0.401,0.0
2011-01-07 14:00:00,0.443,0.0,0.359,0.0,0.425,0.0
2011-01-07 15:00:00,0.424,0.0,0.359,0.0,0.422,0.0
2011-01-07 16:00:00,0.408,0.0,0.359,0.0,0.409,0.0
2011-01-07 17:00:00,0.396,0.0,0.355,0.0,0.393,0.0
2011-01-07 18:00:00,0.377,0.0,0.362,0.0,0.376,0.0
2011-01-07 19:00:00,0.364,0.0,0.371,0.0,0.349,0.0
2011-01-07 20:00:00,0.346,0.004,0.389,0.0,0.321,0.004
2011-01-07 21:00:00,0.313,0.076,0.395,0.009,0.237,0.072
2011-01-07 22:00:00,0.263,0.226,0.322,0.069,0.187,0.218
2011-01-07 23:00:00,0.281,0.383,0.315,0.171,0.178,0.371
2011-01-08 00:00:00,0.268,0.499,0.309,0.284,0.135,0.494
2011-01-08 01:00:00,0.249,0.56,0.311,0.385,0.096,0.558
2011-01-08 02:00:00,0.247,0.58,0.314,0.468,0.074,0.592
2011-01-08 03:00:00,0.272,0.559,0.32,0.507,0.063,0.583
2011-01-08 04:00:00,0.283,0.511,0.346,0.497,0.059,0.534
2011-01-08 05:00:00,0.301,0.429,0.392,0.466,0.062,0.464
2011-01-08 06:00:00,0.329,0.305,0.452,0.379,0.071,0.351
2011-01-08 07:00:00,0.346,0.156,0.52,0.291,0.088,0.205
2011-01-08 08:00:00,0.345,0.074,0.6,0.169,0.116,0.081
2011-01-08 09:00:00,0.311,0.025,0.674,0.05,0.163,0.017
2011-01-08 10:00:00,0.296,0.0,0.654,0.006,0.229,0.0
2011-01-08 11:00:00,0.267,0.0,0.684,0.0,0.281,0.0
2011-01-08 12:00:00,0.269,0.0,0.709,0.0,0.318,0.0
2011-01-08 13:00:00,0.289,0.0,0.714,0.0,0.33,0.0
2011-01-08 14:00:00,0.325,0.0,0.704,0.0,0.33,0.0
2011-01-08 15:00:00,0.371,0.0,0.688,0.0,0.317,0.0
2011-01-08 16:00:00,0.403,0.0,0.68,0.0,0.295,0.0
2011-01-08 17:00:00,0.424,0.0,0.671,0.0,0.273,0.0
2011-01-08 18:00:00,0.433,0.0,0.676,0.0,0.253,0.0
2011-01-08 19:00:00,0.428,0.0,0.679,0.0,0.244,0.0
2011-01-08 20:00:00,0.402,0.003,0.684,0.0,0.243,0.003
2011-01-08 21:00:00,0.387,0.046,0.669,0.009,0.212,0.054
2011-01-08 22:00:00,0.281,0.131,0.622,0.08,0.19,0.161
2011-01-08 23:00:00,0.298,0.237,0.617,0.205,0.19,0.272
2011-01-09 00:00:00,0.3,0.342,0.584,0.337,0.197,0.361
2011-01-09 01:00:00,0.295,0.412,0.544,0.441,0.233,0.43
2011-01-09 02:00:00,0.302,0.471,0.515,0.519,0.283,0.476
2011-01-09 03:00:00,0.318,0.471,0.494,0.556,0.328,0.476
2011-01-09 04:00:00,0.346,0.434,0.492,0.565,0.376,0.431
2011-01-09 05:00:00,0.389,0.377,0.5,0.527,0.439,0.371
2011-01-09 06:00:00,0.434,0.3,0.529,0.442,0.497,0.29
2011-01-09 07:00:00,0.476,0.175,0.581,0.319,0.554,0.167
2011-01-09 08:00:00,0.513,0.101,0.648,0.178,0.581,0.068
2011-01-09 09:00:00,0.549,0.037,0.704,0.05,0.584,0.018
2011-01-09 10:00:00,0.521,0.0,0.711,0.006,0.554,0.0
2011-01-09 11:00:00,0.572,0.0,0.735,0.0,0.576,0.0
2011-01-09 12:00:00,0.592,0.0,0.759,0.0,0.592,0.0
2011-01-09 13:00:00,0.586,0.0,0.763,0.0,0.578,0.0
2011-01-09 14:00:00,0.581,0.0,0.749,0.0,0.54,0.0
2011-01-09 15:00:00,0.568,0.0,0.72,0.0,0.49,0.0
2011-01-09 16:00:00,0.565,0.0,0.684,0.0,0.447,0.0
2011-01-09 17:00:00,0.572,0.0,0.638,0.0,0.421,0.0
2011-01-09 18:00:00,0.576,0.0,0.601,0.0,0.404,0.0
2011-01-09 19:00:00,0.588,0.0,0.571,0.0,0.406,0.0
2011-01-09 20:00:00,0.592,0.001,0.541,0.0,0.413,0.002
2011-01-09 21:00:00,0.587,0.022,0.483,0.011,0.377,0.048
2011-01-09 22:00:00,0.512,0.064,0.388,0.1,0.353,0.145
2011-01-09 23:00:00,0.535,0.11,0.379,0.243,0.378,0.251
2011-01-10 00:00:00,0.521,0.16,0.342,0.386,0.373,0.35
2011-01-10 01:00:00,0.505,0.234,0.322,0.489,0.346,0.392
2011-01-10 02:00:00,0.48,0.276,0.324,0.556,0.319,0.435
2011-01-10 03:00:00,0.442,0.26,0.341,0.578,0.305,0.413
2011-01-10 04:00:00,0.406,0.301,0.38,0.569,0.303,0.39
2011-01-10 05:00:00,0.377,0.252,0.432,0.52,0.313,0.331
2011-01-10 06:00:00,0.355,0.203,0.497,0.433,0.322,0.261
2011-01-10 07:00:00,0.354,0.166,0.579,0.328,0.343,0.172
2011-01-10 08:00:00,0.364,0.09,0.636,0.181,0.37,0.073
2011-01-10 09:00:00,0.377,0.028,0.672,0.054,0.41,0.018
2011-01-10 10:00:00,0.436,0.0,0.64,0.006,0.411,0.0
2011-01-10 11:00:00,0.417,0.0,0.646,0.0,0.43,0.0
2011-01-10 12:00:00,0.395,0.0,0.639,0.0,0.437,0.0
2011-01-10 13:00:00,0.37,0.0,0.623,0.0,0.428,0.0
2011-01-10 14:00:00,0.351,0.0,0.604,0.0,0.417,0.0
2011-01-10 15:00:00,0.331,0.0,0.578,0.0,0.401,0.0
2011-01-10 16:00:00,0.319,0.0,0.543,0.0,0.402,0.0
2011-01-10 17:00:00,0.314,0.0,0.496,0.0,0.399,0.0
2011-01-10 18:00:00,0.308,0.0,0.454,0.0,0.406,0.0
2011-01-10 19:00:00,0.302,0.0,0.422,0.0,0.405,0.0
2011-01-10 20:00:00,0.288,0.002,0.405,0.0,0.403,0.001
2011-01-10 21:00:00,0.267,0.038,0.39,0.009,0.391,0.029
2011-01-10 22:00:00,0.202,0.101,0.328,0.079,0.368,0.085
2011-01-10 23:00:00,0.222,0.187,0.303,0.203,0.387,0.159
2011-01-11 00:00:00,0.24,0.228,0.271,0.323,0.409,0.209
2011-01-11 01:00:00,0.256,0.27,0.266,0.423,0.405,0.272
2011-01-11 02:00:00,0.274,0.263,0.286,0.495,0.379,0.285
2011-01-11 03:00:00,0.285,0.229,0.32,0.526,0.355,0.298
2011-01-11 04:00:00,0.307,0.183,0.367,0.522,0.329,0.283
2011-01-11 05:00:00,0.328,0.156,0.417,0.476,0.31,0.264
2011-01-11 06:00:00,0.33,0.133,0.47,0.42,0.301,0.206
2011-01-11 07:00:00,0.349,0.097,0.527,0.3,0.292,0.154
2011-01-11 08:00:00,0.394,0.047,0.583,0.178,0.308,0.066
2011-01-11 09:00:00,0.437,0.015,0.633,0.053,0.338,0.016
2011-01-11 10:00:00,0.466,0.0,0.598,0.007,0.449,0.0
