name,Norwich Converter,Norway Converter,Bremen Converter
2015-01-01 00:00:00,-316.117091627,674.584826112,-358.467734485
2015-01-01 01:00:00,-2.92937992895,-116.727191881,119.65657181
2015-01-01 02:00:00,32.7636277702,581.970687404,-614.734315174
2015-01-01 03:00:00,-403.770138117,272.557948883,131.212189234
2015-01-01 04:00:00,-0.631269494307,-79.7494872231,80.3807567174
2015-01-01 05:00:00,68.7496360424,-494.197716928,425.448080886
2015-01-01 06:00:00,1217.99799061,-257.520720035,-960.477270579
2015-01-01 07:00:00,36.8185772223,971.918845399,-1008.73742262
2015-01-01 08:00:00,562.71381819,850.880336946,-1413.59415514
2015-01-01 09:00:00,736.338048098,-86.8518033948,-649.486244703
