name,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway,Norway DC
2015-01-01 00:00:00,0.11,0.11,0.11,0.11,0.103369905869,0.103369905869,0.103369905869,0.09,0.09
2015-01-01 01:00:00,1421.94478751,1421.92659133,1421.92659133,1421.93258651,1421.92659133,1421.92659133,1421.92659133,1421.92659133,1421.92659133
2015-01-01 02:00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2015-01-01 03:00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2015-01-01 04:00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2015-01-01 05:00:00,1593.57344059,1593.57344059,1593.57344059,1593.57344059,1593.57344059,1593.57344059,1593.37344059,1593.57344059,1593.57344059
2015-01-01 06:00:00,0.11,0.11,0.343333333333,0.11,0.350371267664,0.350371267664,0.350371267664,0.34707322234,0.34707322234
2015-01-01 07:00:00,1007.08995447,1007.08995447,1007.08995447,1007.08995447,1007.07223612,1007.07223612,1007.07223612,1006.81428398,1007.03650621
2015-01-01 08:00:00,0.244915637676,0.244376196809,0.244376196809,0.11,0.467259295842,0.256148184731,0.467259295842,0.21745709552,0.21745709552
2015-01-01 09:00:00,1490.69648758,1490.69648758,1490.69648758,1490.69648758,1490.69648758,1490.69648758,1490.69648758,1490.69648758,1490.69648758
