name,Manchester Wind,Norway Wind,Norway Gas,Frankfurt Wind,Frankfurt Gas
2015-01-01 00:00:00,741.982987361,1492.60861492,0.0,932.388706733,0.0
2015-01-01 01:00:00,1987.10095171,738.106854981,0.0,1255.64701176,0.0
2015-01-01 02:00:00,858.392169021,624.521431755,0.0,205.90574341,0.0
2015-01-01 03:00:00,807.813367895,920.106181668,0.0,1612.1502592,0.0
2015-01-01 04:00:00,452.52651616,804.324386107,0.0,1432.58829214,0.0
2015-01-01 05:00:00,2469.20627292,14.8647316237,0.0,877.479528124,982.034482721
2015-01-01 06:00:00,2770.85405906,338.08724478,0.0,129.904071569,0.0
2015-01-01 07:00:00,1478.02025484,1263.5612951,0.0,98.4348849251,0.0
2015-01-01 08:00:00,2520.68823268,853.033829495,0.0,414.520401281,0.0
2015-01-01 09:00:00,2133.43245372,673.888373109,1.03948925711e-12,180.21458898,483.239904362
