name,London,Norwich,Frankfurt,Bremen,Norway,Manchester
2015-01-01 00:00:00,35.7962441027,415.462564265,398.047846964,640.086377541,820.035835936,857.551440201
2015-01-01 01:00:00,976.82456147,262.606146453,432.436106242,703.554333706,854.834046862,750.599623717
2015-01-01 02:00:00,250.587312046,418.47635319,379.803928266,440.836130318,42.550744351,156.564876014
2015-01-01 03:00:00,130.753144583,552.95953931,868.361764284,612.576305682,647.548232785,527.870822119
2015-01-01 04:00:00,151.1001686,218.159858091,548.770754622,803.436780805,884.073873331,83.8977589634
2015-01-01 05:00:00,931.857051942,791.976265584,828.665242601,605.400687358,509.062448552,676.623319347
2015-01-01 06:00:00,289.848287145,531.870680822,449.290751908,641.09059024,595.607964815,731.137100483
2015-01-01 07:00:00,864.343321715,23.5134667186,699.163766373,408.008541172,291.642449698,553.344889185
2015-01-01 08:00:00,689.57726377,970.059068457,915.866780252,912.247776165,2.1534925491,298.338082262
2015-01-01 09:00:00,627.878985943,0.9248336907,414.887646403,898.053091642,760.740176504,768.290585989
