name,Norwich Converter,Norway Converter,Bremen Converter,DC link
2015-01-01 00:00:00,-566.827261209,672.57277898,-105.745517772,-7.53750158146e-23
2015-01-01 01:00:00,-2.92937992895,-116.727191881,119.65657181,1.98524556652e-23
2015-01-01 02:00:00,32.7636277702,581.970687404,-614.734315174,4.59259684006e-24
2015-01-01 03:00:00,-403.770138117,272.557948883,131.212189234,-9.60060554389e-23
2015-01-01 04:00:00,-0.631269494307,-79.7494872231,80.3807567174,-7.91997437647e-23
2015-01-01 05:00:00,68.7496360424,-494.197716928,425.448080886,7.35276135747e-25
2015-01-01 06:00:00,1217.99799061,-257.520720035,-960.477270579,3.75909940182e-23
2015-01-01 07:00:00,36.8185772223,971.918845399,-1008.73742262,-1.65127016478e-22
2015-01-01 08:00:00,562.71381819,850.880336946,-1413.59415514,-5.92422486516e-23
2015-01-01 09:00:00,736.338048098,-86.8518033948,-649.486244703,-9.05047376103e-23
