name,bus,sign,control,p_min_pu_fixed,capital_cost,p_nom_extendable,dispatch,p_nom_max,p_nom,p_nom_opt,p_nom_min,p_max_pu_fixed,efficiency,source,marginal_cost,standing_loss,cyclic_state_of_charge,max_hours,efficiency_store,state_of_charge_initial,efficiency_dispatch,obj
106 Pumped Hydro,106,1.0,PQ,-1.0,0.0,False,flexible,,247.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 106 Pumped Hydro
114 Pumped Hydro,114,1.0,PQ,-1.0,0.0,False,flexible,,138.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 114 Pumped Hydro
119 Pumped Hydro,119,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 119 Pumped Hydro
143 Pumped Hydro,143,1.0,PQ,-1.0,0.0,False,flexible,,220.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 143 Pumped Hydro
146 Pumped Hydro,146,1.0,PQ,-1.0,0.0,False,flexible,,238.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 146 Pumped Hydro
2 Pumped Hydro,2,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 2 Pumped Hydro
201 Pumped Hydro,201,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 201 Pumped Hydro
205 Pumped Hydro,205,1.0,PQ,-1.0,0.0,False,flexible,,153.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 205 Pumped Hydro
225 Pumped Hydro,225,1.0,PQ,-1.0,0.0,False,flexible,,144.5,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 225 Pumped Hydro
235 Pumped Hydro,235,1.0,PQ,-1.0,0.0,False,flexible,,470.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 235 Pumped Hydro
237 Pumped Hydro,237,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 237 Pumped Hydro
240 Pumped Hydro,240,1.0,PQ,-1.0,0.0,False,flexible,,198.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 240 Pumped Hydro
256 Pumped Hydro,256,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 256 Pumped Hydro
266 Pumped Hydro,266,1.0,PQ,-1.0,0.0,False,flexible,,98.8,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 266 Pumped Hydro
276 Pumped Hydro,276,1.0,PQ,-1.0,0.0,False,flexible,,39.8,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 276 Pumped Hydro
279 Pumped Hydro,279,1.0,PQ,-1.0,0.0,False,flexible,,1045.2,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 279 Pumped Hydro
287 Pumped Hydro,287,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 287 Pumped Hydro
293 Pumped Hydro,293,1.0,PQ,-1.0,0.0,False,flexible,,377.6,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 293 Pumped Hydro
320 Pumped Hydro,320,1.0,PQ,-1.0,0.0,False,flexible,,90.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 320 Pumped Hydro
326 Pumped Hydro,326,1.0,PQ,-1.0,0.0,False,flexible,,100.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 326 Pumped Hydro
342 Pumped Hydro,342,1.0,PQ,-1.0,0.0,False,flexible,,79.7,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 342 Pumped Hydro
343 Pumped Hydro,343,1.0,PQ,-1.0,0.0,False,flexible,,1052.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 343 Pumped Hydro
368 Pumped Hydro,368,1.0,PQ,-1.0,0.0,False,flexible,,910.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 368 Pumped Hydro
379 Pumped Hydro,379,1.0,PQ,-1.0,0.0,False,flexible,,196.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 379 Pumped Hydro
389 Pumped Hydro,389,1.0,PQ,-1.0,0.0,False,flexible,,164.0,0.0,0.0,1.0,1.0,Pumped Hydro,3.0,0.0,False,6.0,0.95,0.0,0.95,StorageUnit 389 Pumped Hydro
