attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
snapshots,list or pandas.Index,n/a,"[""now""]","List of snapshots or time steps. All time-dependent series quantities are indexed by ``network.snapshots``. To reset the snapshots, call ``network.set_snapshots(new)``.",Input (optional)
snapshot_weightings,pandas.Series, hours , 1. ,"The weighting applied to each snapshot, so that snapshots can represent more than one hour or fractions of one hour. This weighting is used to weight snapshots in the LOPF objective function, to determine the state of charge change for storage units and for calculating global constraints.",Input (optional)
now,any,n/a,"""now""","The current snapshot/time/scenario, relevant e.g. when ``network.pf()`` is called without a snapshot argument.",Input (optional)
srid,integer,n/a,4326,"Spatial Reference System Indentifier for x,y coordinates of buses. It defaults to standard longitude and latitude.",Input (optional)
buses,pandas.DataFrame,n/a,n/a,"All static bus information compiled by PyPSA from inputs. Index is bus names, columns are bus attributes.",Output
buses_t,dictionary of pandas.DataFrames,n/a,n/a,"All time-dependent bus information compiled by PyPSA from inputs. Dictionary keys are time-dependent series attributes, index is network.snapshots, columns are bus names.",Output
lines,pandas.DataFrame,n/a,n/a,"All static line information compiled by PyPSA from inputs. Index is line names, columns are line attributes.",Output
lines_t,dictionary of pandas.DataFrames,n/a,n/a,"All time-dependent line information compiled by PyPSA from inputs. Dictionary keys are time-dependent series attributes, index is network.snapshots, columns are line names.",Output
components,pandas.DataFrame,n/a,n/a,"For each component type (buses, lines, etc.): static component information compiled by PyPSA from inputs. Index is component names, columns are component attributes.",Output
components_t,dictionary of pandas.DataFrames,n/a,n/a,"For each component type (buses, lines, etc.): time-dependent component information compiled by PyPSA from inputs. Dictionary keys are time-dependent series attributes, index is network.snapshots, columns are component names.",Output
branches(),pandas.DataFrame,n/a,n/a,"Dynamically generated concatenation of branch DataFrames: network.lines, network.transformers and network.links. Note that this is a copy and therefore changing entries will NOT update the original.",Output
graph(),networkx. OrderedMultiGraph,n/a,n/a,Graph of network.,Output
