attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
co2_emissions,float,tonnes/MWh,0,Emissions in CO2-tonnes-equivalent per MWh of primary energy (e.g. methane has 0.2 tonnes_CO2/MWh_thermal).,Input (optional)
color,string,n/a,n/a,plotting color,Input (optional)
nice_name,string,n/a,n/a,More precise descriptive name,Input (optional)
learning_rate,float,per unit,0,"Learning rate for a technology, capital cost reduction for every doubling of the installed capacity",Input (optional)
global_capacity,float,MW,0,"Globally installed capacity of a carrier, used to determine the learning curve of the technology",Input (optional)
initial_cost,float,Eur/MW,0,"Only considered for technology learning, initial investment costs before technology learning",Input (optional)
max_capacity,float,MW,0,"Only considered for technology learning, maximum installable capacity",Input (optional)
global_factor,float,per unit,1,"Defines if global or local technology learning is applied, 1=local learning",Input (optional)
bus,string,n/a,n/a,defines bus for technical limit constraint,Input (optional)
max_growth,float,MW,inf,maximum new installed capacity per investment period,Input (optional)
min_growth,float,MW,0,minimum new installed capacity per investment period,Input (optional)
