name,bus,control,type,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch
100_220kV Pumped Hydro,100_220kV,PQ,,144.5,Pumped Hydro,3.0,6.0,0.95,0.95
114 Pumped Hydro,114,PQ,,138.0,Pumped Hydro,3.0,6.0,0.95,0.95
121 Pumped Hydro,121,PQ,,238.0,Pumped Hydro,3.0,6.0,0.95,0.95
140 Pumped Hydro,140,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
141 Pumped Hydro,141,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
158 Pumped Hydro,158,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
166 Pumped Hydro,166,PQ,,1.5,Pumped Hydro,3.0,6.0,0.95,0.95
205 Pumped Hydro,205,PQ,,153.0,Pumped Hydro,3.0,6.0,0.95,0.95
228 Pumped Hydro,228,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
235 Pumped Hydro,235,PQ,,470.0,Pumped Hydro,3.0,6.0,0.95,0.95
25 Pumped Hydro,25,PQ,,196.0,Pumped Hydro,3.0,6.0,0.95,0.95
266 Pumped Hydro,266,PQ,,98.8,Pumped Hydro,3.0,6.0,0.95,0.95
268 Pumped Hydro,268,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
279_220kV Pumped Hydro,279_220kV,PQ,,1045.2,Pumped Hydro,3.0,6.0,0.95,0.95
293 Pumped Hydro,293,PQ,,377.6,Pumped Hydro,3.0,6.0,0.95,0.95
320 Pumped Hydro,320,PQ,,90.0,Pumped Hydro,3.0,6.0,0.95,0.95
32_220kV Pumped Hydro,32_220kV,PQ,,220.0,Pumped Hydro,3.0,6.0,0.95,0.95
333 Pumped Hydro,333,PQ,,525.0,Pumped Hydro,3.0,6.0,0.95,0.95
342 Pumped Hydro,342,PQ,,79.7,Pumped Hydro,3.0,6.0,0.95,0.95
343 Pumped Hydro,343,PQ,,1052.0,Pumped Hydro,3.0,6.0,0.95,0.95
362_220kV Pumped Hydro,362_220kV,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
368 Pumped Hydro,368,PQ,,910.0,Pumped Hydro,3.0,6.0,0.95,0.95
374 Pumped Hydro,374,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
379 Pumped Hydro,379,PQ,,39.8,Pumped Hydro,3.0,6.0,0.95,0.95
389 Pumped Hydro,389,PQ,,164.0,Pumped Hydro,3.0,6.0,0.95,0.95
397 Pumped Hydro,397,PQ,,144.5,Pumped Hydro,3.0,6.0,0.95,0.95
423 Pumped Hydro,423,PQ,,360.0,Pumped Hydro,3.0,6.0,0.95,0.95
424 Pumped Hydro,424,PQ,,295.0,Pumped Hydro,3.0,6.0,0.95,0.95
479 Pumped Hydro,479,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
481 Pumped Hydro,481,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
493 Pumped Hydro,493,PQ,,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
51 Pumped Hydro,51,PQ,,623.0,Pumped Hydro,3.0,6.0,0.95,0.95
63 Pumped Hydro,63,PQ,,43.0,Pumped Hydro,3.0,6.0,0.95,0.95
66 Pumped Hydro,66,PQ,,127.0,Pumped Hydro,3.0,6.0,0.95,0.95
72 Pumped Hydro,72,PQ,,198.0,Pumped Hydro,3.0,6.0,0.95,0.95
78_220kV Pumped Hydro,78_220kV,PQ,,79.8,Pumped Hydro,3.0,6.0,0.95,0.95
8 Pumped Hydro,8,PQ,,119.1,Pumped Hydro,3.0,6.0,0.95,0.95
98 Pumped Hydro,98,PQ,,247.0,Pumped Hydro,3.0,6.0,0.95,0.95
