name,bus0,bus1,type,s_nom,length,num_parallel,wkt_srid_4326,voltage,from_relation,r_ohmkm,ref,cables,x_ohmkm,wires,osm_name,operator,c_nfkm,frequency,length_m,i_th_max_a
1,1,2_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,43.379,1.0,"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)",220000.0,67129.0,0.08,2016,3.0,0.32,2.0,Leitung 2016,TenneT,11.5,50.0,43379.0,1.3
2,3,4,Al/St 240/40 4-bundle 380.0,3422.53239576,72.686,2.0,"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)",380000.0,67131.0,0.0125,,6.0,0.125,4.0,Leitung 3011,TenneT,27.4,50.0,72686.0,5.2
3,5_220kV,6,Al/St 240/40 2-bundle 220.0,990.733061929,33.943,2.0,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)",220000.0,67151.0,0.04,1,6.0,0.16,2.0,Leitung 2024,TenneT,23.0,50.0,33943.0,2.6
4,7,5,Al/St 240/40 4-bundle 380.0,1711.26619788,33.471,1.0,"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)",380000.0,67153.0,0.025,3026,3.0,0.25,4.0,Leitung 3026,TenneT,13.7,50.0,33471.0,2.6
5,8,9,Al/St 240/40 4-bundle 380.0,3422.53239576,28.163,2.0,"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)",380000.0,67585.0,0.0125,,6.0,0.125,4.0,KKW Krümmel - UW Lüneburg,transpower,27.4,50.0,28163.0,5.2
6,10_220kV,11,Al/St 240/40 2-bundle 220.0,495.366530965,27.565,1.0,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)",220000.0,69042.0,0.08,295,3.0,0.32,2.0,295,50Hertz,11.5,50.0,27565.0,1.3
7,11,12_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,45.809,1.0,"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)",220000.0,69043.0,0.08,293,3.0,0.32,2.0,293,50Hertz,11.5,50.0,45809.0,1.3
8,10_220kV,12_220kV,Al/St 240/40 2-bundle 220.0,495.366530965,68.39,1.0,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)",220000.0,69045.0,0.08,294,3.0,0.32,2.0,294,50Hertz,11.5,50.0,68390.0,1.3
9,13_220kV,14,Al/St 240/40 2-bundle 220.0,495.366530965,39.282,1.0,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)",220000.0,69488.0,0.08,263,3.0,0.32,2.0,Oba-Nfi I,TenneT TSO GmbH,11.5,50.0,39282.0,1.3
10,13,15,Al/St 240/40 4-bundle 380.0,855.633098939,44.323,0.5,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)",380000.0,69489.0,0.05,461,3.0,0.5,2.0,Oba-Oh,transpower,6.85,,44323.0,1.3
11,16,5,Al/St 240/40 4-bundle 380.0,1711.26619788,36.253,1.0,"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)",380000.0,71281.0,0.025,2,3.0,0.25,4.0,Leitung 3023,TenneT,13.7,50.0,36253.0,2.6
12,17,18,Al/St 240/40 4-bundle 380.0,1283.44964841,200.291,0.75,"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)",380000.0,109962.0,0.033333,518,3.0,0.333333,3.0,518,50Hertz,10.275,50.0,200291.0,1.95
13,17,12,Al/St 240/40 4-bundle 380.0,1283.44964841,24.268,0.75,"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)",380000.0,109969.0,0.033333,520,3.0,0.333333,3.0,520,50Hertz,10.275,50.0,24268.0,1.95
14,13,15,Al/St 240/40 4-bundle 380.0,855.633098939,44.371,0.5,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)",380000.0,112804.0,0.05,462,3.0,0.5,2.0,Oba-Oh,transpower,6.85,,44371.0,1.3
15,14,15_220kV,Al/St 240/40 2-bundle 220.0,990.733061929,5.432,2.0,"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)",220000.0,112810.0,0.04,286;287,6.0,0.16,2.0,Nfi-Oh,,23.0,50.0,5432.0,2.6
16,13_220kV,19,Al/St 240/40 2-bundle 220.0,990.733061929,30.996,2.0,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)",220000.0,114252.0,0.04,269;270,6.0,0.16,2.0,OBR-OBA,TenneT,23.0,50.0,30996.0,2.6
17,20,21,Al/St 240/40 4-bundle 380.0,855.633098939,31.287,0.5,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)",380000.0,114696.0,0.05,A,3.0,0.5,2.0,Hamburg/Ost - Hamburg/Nord,50Hertz,6.85,50.0,31287.0,1.3
18,20,22,Al/St 240/40 4-bundle 380.0,1711.26619788,57.378,1.0,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)",380000.0,114718.0,0.025,G,3.0,0.25,4.0,Brunsbüttel - Hamburg/Nord,50Hertz,13.7,,57378.0,2.6
19,20_220kV,23,Al/St 240/40 2-bundle 220.0,495.366530965,3.313,1.0,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)",220000.0,114723.0,,,3.0,,2.0,UW HH-Nord - UW Ulzburg,,,,3313.0,
20,23,24_220kV,Al/St 240/40 2-bundle 220.0,990.733061929,62.919,2.0,"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)",220000.0,114724.0,,,6.0,,2.0,UW Hamburg Nord - UW Audorf,TenneT,,50.0,62919.0,
