name,bus,control,type,p_nom,carrier,marginal_cost
1 Gas,1,PQ,,121.0,Gas,50.0
1 Hard Coal,1,PQ,,272.0,Hard Coal,25.0
102 Gas,102,PQ,,67.9,Gas,50.0
108 Run of River,108,PQ,,63.1,Run of River,3.0
108 Waste,108,PQ,,38.0,Waste,6.0
111 Gas,111,PQ,,13.5,Gas,50.0
112 Gas,112,PQ,,13.5,Gas,50.0
112 Run of River,112,PQ,,11.1,Run of River,3.0
114 Hard Coal,114,PQ,,19.0,Hard Coal,25.0
115 Brown Coal,115,PQ,,4730.0,Brown Coal,10.0
116 Gas,116,PQ,,543.3,Gas,50.0
118 Gas,118,PQ,,95.0,Gas,50.0
118 Waste,118,PQ,,12.0,Waste,6.0
119 Brown Coal,119,PQ,,9.3,Brown Coal,10.0
119 Gas,119,PQ,,16.9,Gas,50.0
119 Hard Coal,119,PQ,,61.5,Hard Coal,25.0
121 Brown Coal,121,PQ,,24.6,Brown Coal,10.0
123_220kV Brown Coal,123_220kV,PQ,,3455.0,Brown Coal,10.0
123_220kV Gas,123_220kV,PQ,,96.5,Gas,50.0
126 Gas,126,PQ,,2.0,Gas,50.0
126 Oil,126,PQ,,60.0,Oil,100.0
127 Brown Coal,127,PQ,,1800.0,Brown Coal,10.0
127 Waste,127,PQ,,24.0,Waste,6.0
128_220kV Run of River,128_220kV,PQ,,36.4,Run of River,3.0
129_220kV Hard Coal,129_220kV,PQ,,61.5,Hard Coal,25.0
12_220kV Gas,12_220kV,PQ,,150.0,Gas,50.0
12_220kV Waste,12_220kV,PQ,,30.0,Waste,6.0
130 Hard Coal,130,PQ,,85.0,Hard Coal,25.0
130 Waste,130,PQ,,30.0,Waste,6.0
131 Gas,131,PQ,,586.3,Gas,50.0
132 Storage Hydro,132,PQ,,29.0,Storage Hydro,3.0
133 Brown Coal,133,PQ,,137.0,Brown Coal,10.0
133 Waste,133,PQ,,33.4,Waste,6.0
134 Brown Coal,134,PQ,,118.0,Brown Coal,10.0
136 Gas,136,PQ,,838.0,Gas,50.0
136 Hard Coal,136,PQ,,765.0,Hard Coal,25.0
137 Gas,137,PQ,,11.4,Gas,50.0
139 Hard Coal,139,PQ,,760.0,Hard Coal,25.0
14 Run of River,14,PQ,,27.0,Run of River,3.0
140 Gas,140,PQ,,11.1,Gas,50.0
141 Gas,141,PQ,,64.7,Gas,50.0
142 Gas,142,PQ,,9.8,Gas,50.0
142 Hard Coal,142,PQ,,449.0,Hard Coal,25.0
145 Brown Coal,145,PQ,,75.3,Brown Coal,10.0
145 Gas,145,PQ,,536.5,Gas,50.0
145 Other,145,PQ,,79.8,Other,32.0
145 Waste,145,PQ,,45.1,Waste,6.0
146 Gas,146,PQ,,84.0,Gas,50.0
147 Gas,147,PQ,,230.0,Gas,50.0
148 Gas,148,PQ,,10.2,Gas,50.0
148 Oil,148,PQ,,86.2,Oil,100.0
148 Waste,148,PQ,,53.7,Waste,6.0
149 Run of River,149,PQ,,128.7,Run of River,3.0
150 Gas,150,PQ,,15.8,Gas,50.0
153 Waste,153,PQ,,12.0,Waste,6.0
155 Waste,155,PQ,,12.6,Waste,6.0
156_220kV Brown Coal,156_220kV,PQ,,28.9,Brown Coal,10.0
157_220kV Brown Coal,157_220kV,PQ,,857.0,Brown Coal,10.0
157_220kV Gas,157_220kV,PQ,,22.0,Gas,50.0
16 Gas,16,PQ,,11.4,Gas,50.0
160_220kV Hard Coal,160_220kV,PQ,,103.0,Hard Coal,25.0
160_220kV Waste,160_220kV,PQ,,14.0,Waste,6.0
161 Gas,161,PQ,,58.58,Gas,50.0
166 Gas,166,PQ,,333.6,Gas,50.0
166 Hard Coal,166,PQ,,1324.5,Hard Coal,25.0
167 Gas,167,PQ,,26.0,Gas,50.0
167 Run of River,167,PQ,,46.9,Run of River,3.0
169 Gas,169,PQ,,33.7,Gas,50.0
170 Gas,170,PQ,,23.1,Gas,50.0
170 Waste,170,PQ,,61.5,Waste,6.0
174 Gas,174,PQ,,24.5,Gas,50.0
174 Other,174,PQ,,38.0,Other,32.0
175 Hard Coal,175,PQ,,95.0,Hard Coal,25.0
175 Other,175,PQ,,21.0,Other,32.0
176 Gas,176,PQ,,3.3,Gas,50.0
177 Multiple,177,PQ,,32.7,Multiple,28.0
178 Gas,178,PQ,,9.2,Gas,50.0
178 Storage Hydro,178,PQ,,15.0,Storage Hydro,3.0
180 Gas,180,PQ,,25.4,Gas,50.0
180 Oil,180,PQ,,333.5,Oil,100.0
180 Waste,180,PQ,,28.9,Waste,6.0
183 Gas,183,PQ,,22.5,Gas,50.0
183 Hard Coal,183,PQ,,766.0,Hard Coal,25.0
183 Oil,183,PQ,,38.0,Oil,100.0
183 Waste,183,PQ,,24.0,Waste,6.0
184_220kV Gas,184_220kV,PQ,,22.3,Gas,50.0
185 Waste,185,PQ,,33.1,Waste,6.0
188 Gas,188,PQ,,274.0,Gas,50.0
18_220kV Gas,18_220kV,PQ,,52.8,Gas,50.0
19 Gas,19,PQ,,10.6,Gas,50.0
19 Hard Coal,19,PQ,,370.0,Hard Coal,25.0
190 Gas,190,PQ,,13.4,Gas,50.0
194 Hard Coal,194,PQ,,1017.0,Hard Coal,25.0
196 Hard Coal,196,PQ,,695.0,Hard Coal,25.0
196 Other,196,PQ,,700.0,Other,32.0
197 Run of River,197,PQ,,40.1,Run of River,3.0
198 Gas,198,PQ,,15.0,Gas,50.0
200 Brown Coal,200,PQ,,27.5,Brown Coal,10.0
200 Gas,200,PQ,,7.4,Gas,50.0
201_220kV Gas,201_220kV,PQ,,58.1,Gas,50.0
202 Gas,202,PQ,,1870.1,Gas,50.0
202 Nuclear,202,PQ,,1329.0,Nuclear,8.0
203 Gas,203,PQ,,20.5,Gas,50.0
204 Hard Coal,204,PQ,,310.0,Hard Coal,25.0
205 Gas,205,PQ,,417.0,Gas,50.0
209 Hard Coal,209,PQ,,26.0,Hard Coal,25.0
21 Gas,21,PQ,,127.0,Gas,50.0
21 Hard Coal,21,PQ,,194.0,Hard Coal,25.0
21 Waste,21,PQ,,16.4,Waste,6.0
210 Waste,210,PQ,,14.7,Waste,6.0
211 Hard Coal,211,PQ,,721.0,Hard Coal,25.0
211 Waste,211,PQ,,11.6,Waste,6.0
212 Run of River,212,PQ,,24.0,Run of River,3.0
213 Gas,213,PQ,,104.6,Gas,50.0
214 Gas,214,PQ,,27.0,Gas,50.0
215 Gas,215,PQ,,47.2,Gas,50.0
215 Waste,215,PQ,,73.4,Waste,6.0
217 Gas,217,PQ,,108.0,Gas,50.0
217 Hard Coal,217,PQ,,508.0,Hard Coal,25.0
217 Waste,217,PQ,,17.0,Waste,6.0
219 Gas,219,PQ,,254.5,Gas,50.0
219 Waste,219,PQ,,34.0,Waste,6.0
221 Geothermal,221,PQ,,7.8,Geothermal,26.0
222 Gas,222,PQ,,99.0,Gas,50.0
223 Gas,223,PQ,,87.0,Gas,50.0
224 Other,224,PQ,,176.1,Other,32.0
225 Gas,225,PQ,,11.6,Gas,50.0
225 Hard Coal,225,PQ,,13.4,Hard Coal,25.0
225 Waste,225,PQ,,15.0,Waste,6.0
226 Gas,226,PQ,,20.0,Gas,50.0
226 Run of River,226,PQ,,0.1,Run of River,3.0
227 Run of River,227,PQ,,11.0,Run of River,3.0
229 Gas,229,PQ,,24.5,Gas,50.0
229 Hard Coal,229,PQ,,1958.0,Hard Coal,25.0
22_220kV Oil,22_220kV,PQ,,298.5,Oil,100.0
233_220kV Gas,233_220kV,PQ,,4.0,Gas,50.0
233_220kV Hard Coal,233_220kV,PQ,,20.7,Hard Coal,25.0
235 Other,235,PQ,,19.7,Other,32.0
238 Run of River,238,PQ,,12.1,Run of River,3.0
239 Gas,239,PQ,,800.0,Gas,50.0
240 Gas,240,PQ,,126.0,Gas,50.0
245 Hard Coal,245,PQ,,61.5,Hard Coal,25.0
246 Hard Coal,246,PQ,,510.0,Hard Coal,25.0
247_220kV Oil,247_220kV,PQ,,34.5,Oil,100.0
247_220kV Run of River,247_220kV,PQ,,633.2,Run of River,3.0
248_220kV Hard Coal,248_220kV,PQ,,895.0,Hard Coal,25.0
249 Waste,249,PQ,,14.6,Waste,6.0
250_220kV Other,250_220kV,PQ,,396.6,Other,32.0
254 Gas,254,PQ,,10.7,Gas,50.0
255 Run of River,255,PQ,,84.8,Run of River,3.0
258 Gas,258,PQ,,32.0,Gas,50.0
258 Other,258,PQ,,28.0,Other,32.0
260 Hard Coal,260,PQ,,138.5,Hard Coal,25.0
266 Gas,266,PQ,,59.9,Gas,50.0
266 Oil,266,PQ,,92.8,Oil,100.0
266 Run of River,266,PQ,,214.0,Run of River,3.0
266 Waste,266,PQ,,9.0,Waste,6.0
26_220kV Nuclear,26_220kV,PQ,,1410.0,Nuclear,8.0
270 Gas,270,PQ,,50.0,Gas,50.0
275 Gas,275,PQ,,42.0,Gas,50.0
275 Other,275,PQ,,100.0,Other,32.0
275 Waste,275,PQ,,12.5,Waste,6.0
276 Hard Coal,276,PQ,,110.0,Hard Coal,25.0
276 Run of River,276,PQ,,16.0,Run of River,3.0
279_220kV Brown Coal,279_220kV,PQ,,90.8,Brown Coal,10.0
28 Hard Coal,28,PQ,,260.0,Hard Coal,25.0
28 Oil,28,PQ,,101.0,Oil,100.0
28 Run of River,28,PQ,,311.8,Run of River,3.0
281_220kV Gas,281_220kV,PQ,,74.0,Gas,50.0
282_220kV Oil,282_220kV,PQ,,17.0,Oil,100.0
285 Gas,285,PQ,,18.1,Gas,50.0
287 Gas,287,PQ,,64.0,Gas,50.0
288 Hard Coal,288,PQ,,18.5,Hard Coal,25.0
289 Gas,289,PQ,,33.4,Gas,50.0
289 Hard Coal,289,PQ,,794.0,Hard Coal,25.0
290 Waste,290,PQ,,15.7,Waste,6.0
291 Brown Coal,291,PQ,,1105.0,Brown Coal,10.0
292_220kV Brown Coal,292_220kV,PQ,,20.3,Brown Coal,10.0
292_220kV Gas,292_220kV,PQ,,216.0,Gas,50.0
292_220kV Waste,292_220kV,PQ,,59.0,Waste,6.0
294 Gas,294,PQ,,13.5,Gas,50.0
294 Waste,294,PQ,,11.2,Waste,6.0
295 Gas,295,PQ,,119.0,Gas,50.0
295 Hard Coal,295,PQ,,43.3,Hard Coal,25.0
298 Gas,298,PQ,,37.5,Gas,50.0
299 Hard Coal,299,PQ,,690.0,Hard Coal,25.0
3 Run of River,3,PQ,,18.8,Run of River,3.0
301 Gas,301,PQ,,13.0,Gas,50.0
302 Brown Coal,302,PQ,,33.5,Brown Coal,10.0
302 Gas,302,PQ,,128.0,Gas,50.0
302 Other,302,PQ,,56.0,Other,32.0
302 Storage Hydro,302,PQ,,79.0,Storage Hydro,3.0
302 Waste,302,PQ,,14.7,Waste,6.0
304 Gas,304,PQ,,34.2,Gas,50.0
304 Oil,304,PQ,,24.8,Oil,100.0
305 Nuclear,305,PQ,,1310.0,Nuclear,8.0
305 Oil,305,PQ,,136.0,Oil,100.0
308_220kV Gas,308_220kV,PQ,,27.4,Gas,50.0
308_220kV Nuclear,308_220kV,PQ,,1275.0,Nuclear,8.0
30_220kV Run of River,30_220kV,PQ,,3.0,Run of River,3.0
31 Gas,31,PQ,,195.4,Gas,50.0
310 Hard Coal,310,PQ,,778.0,Hard Coal,25.0
313 Brown Coal,313,PQ,,875.0,Brown Coal,10.0
315_220kV Run of River,315_220kV,PQ,,77.4,Run of River,3.0
316 Gas,316,PQ,,75.8,Gas,50.0
316 Waste,316,PQ,,10.0,Waste,6.0
318 Run of River,318,PQ,,62.7,Run of River,3.0
320 Gas,320,PQ,,9.8,Gas,50.0
321 Gas,321,PQ,,0.2,Gas,50.0
321 Waste,321,PQ,,13.6,Waste,6.0
322_220kV Gas,322_220kV,PQ,,85.1,Gas,50.0
323 Gas,323,PQ,,12.9,Gas,50.0
326 Gas,326,PQ,,319.8,Gas,50.0
327 Gas,327,PQ,,26.9,Gas,50.0
328 Run of River,328,PQ,,36.5,Run of River,3.0
329 Run of River,329,PQ,,50.0,Run of River,3.0
329 Storage Hydro,329,PQ,,500.0,Storage Hydro,3.0
32_220kV Gas,32_220kV,PQ,,109.1,Gas,50.0
33 Gas,33,PQ,,31.8,Gas,50.0
330 Nuclear,330,PQ,,1410.0,Nuclear,8.0
330 Run of River,330,PQ,,35.8,Run of River,3.0
331 Gas,331,PQ,,227.0,Gas,50.0
331 Run of River,331,PQ,,217.5,Run of River,3.0
331 Waste,331,PQ,,12.5,Waste,6.0
332_220kV Gas,332_220kV,PQ,,97.9,Gas,50.0
332_220kV Run of River,332_220kV,PQ,,25.2,Run of River,3.0
335 Gas,335,PQ,,54.0,Gas,50.0
336_220kV Gas,336_220kV,PQ,,52.8,Gas,50.0
336_220kV Run of River,336_220kV,PQ,,89.0,Run of River,3.0
337 Gas,337,PQ,,13.4,Gas,50.0
337 Run of River,337,PQ,,80.1,Run of River,3.0
338_220kV Waste,338_220kV,PQ,,54.0,Waste,6.0
34 Hard Coal,34,PQ,,757.0,Hard Coal,25.0
34 Oil,34,PQ,,56.0,Oil,100.0
340 Gas,340,PQ,,299.6,Gas,50.0
340 Storage Hydro,340,PQ,,82.5,Storage Hydro,3.0
341 Brown Coal,341,PQ,,134.0,Brown Coal,10.0
341 Gas,341,PQ,,159.0,Gas,50.0
341 Oil,341,PQ,,111.0,Oil,100.0
341 Other,341,PQ,,42.7,Other,32.0
341 Waste,341,PQ,,58.0,Waste,6.0
342 Gas,342,PQ,,19.5,Gas,50.0
344 Gas,344,PQ,,69.95,Gas,50.0
347 Gas,347,PQ,,211.0,Gas,50.0
347 Hard Coal,347,PQ,,89.0,Hard Coal,25.0
347 Oil,347,PQ,,327.0,Oil,100.0
348 Gas,348,PQ,,458.9,Gas,50.0
350 Gas,350,PQ,,18.6,Gas,50.0
351_220kV Other,351_220kV,PQ,,23.3,Other,32.0
351_220kV Run of River,351_220kV,PQ,,63.7,Run of River,3.0
351_220kV Waste,351_220kV,PQ,,25.5,Waste,6.0
352 Hard Coal,352,PQ,,472.0,Hard Coal,25.0
352 Oil,352,PQ,,46.0,Oil,100.0
352 Run of River,352,PQ,,73.3,Run of River,3.0
353_220kV Gas,353_220kV,PQ,,1391.0,Gas,50.0
