name,bus
1,1
3,3
4,4
6,6
7,7
8,8
9,9
11,11
14,14
16,16
17,17
19,19
21,21
23,23
25,25
27,27
28,28
29,29
31,31
33,33
34,34
35,35
36,36
38,38
39,39
40,40
41,41
43,43
44,44
45,45
47,47
48,48
49,49
50,50
51,51
53,53
54,54
55,55
57,57
58,58
59,59
60,60
62,62
63,63
64,64
65,65
66,66
67,67
70,70
71,71
72,72
73,73
75,75
76,76
77,77
79,79
80,80
81,81
82,82
83,83
84,84
85,85
88,88
89,89
90,90
91,91
92,92
93,93
97,97
98,98
101,101
102,102
103,103
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
118,118
119,119
121,121
122,122
126,126
127,127
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
139,139
140,140
141,141
142,142
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
158,158
161,161
162,162
163,163
164,164
166,166
167,167
168,168
169,169
170,170
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,178
179,179
180,180
181,181
182,182
183,183
185,185
186,186
187,187
188,188
189,189
190,190
192,192
193,193
194,194
196,196
197,197
198,198
199,199
200,200
202,202
203,203
204,204
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,215
216,216
217,217
218,218
219,219
221,221
222,222
223,223
224,224
225,225
226,226
227,227
228,228
229,229
230,230
234,234
235,235
237,237
238,238
239,239
240,240
241,241
242,242
245,245
246,246
249,249
253,253
254,254
255,255
256,256
257,257
258,258
259,259
260,260
262,262
265,265
266,266
268,268
269,269
270,270
271,271
273,273
274,274
275,275
276,276
277,277
278,278
280,280
283,283
284,284
285,285
286,286
287,287
288,288
289,289
290,290
291,291
293,293
294,294
295,295
296,296
297,297
298,298
299,299
300,300
301,301
302,302
304,304
305,305
306,306
309,309
310,310
311,311
313,313
314,314
316,316
318,318
319,319
320,320
321,321
323,323
324,324
325,325
326,326
327,327
328,328
329,329
330,330
331,331
333,333
335,335
337,337
339,339
340,340
341,341
342,342
343,343
344,344
345,345
346,346
347,347
348,348
349,349
350,350
352,352
354,354
355,355
356,356
357,357
358,358
359,359
361,361
363,363
364,364
365,365
366,366
367,367
368,368
369,369
370,370
371,371
372,372
373,373
374,374
375,375
376,376
377,377
378,378
379,379
380,380
381,381
383,383
386,386
387,387
388,388
389,389
390,390
392,392
393,393
394,394
395,395
396,396
397,397
398,398
399,399
400,400
401,401
402,402
405,405
406,406
409,409
410,410
411,411
412,412
414,414
415,415
416,416
417,417
418,418
422,422
423,423
424,424
425,425
426,426
427,427
428,428
429,429
430,430
431,431
432,432
433,433
434,434
435,435
436,436
437,437
438,438
439,439
440,440
441,441
442,442
443,443
444,444
445,445
446,446
447,447
448,448
449,449
451,451
452,452
453,453
454,454
455,455
456,456
457,457
459,459
460,460
461,461
462,462
463,463
464,464
465,465
466,466
467,467
468,468
469,469
470,470
471,471
472,472
473,473
474,474
475,475
476,476
477,477
478,478
479,479
480,480
481,481
482,482
483,483
484,484
485,485
486,486
487,487
488,488
489,489
490,490
491,491
492,492
493,493
494,494
495,495
2_220kV,2_220kV
5_220kV,5_220kV
10_220kV,10_220kV
12_220kV,12_220kV
13_220kV,13_220kV
15_220kV,15_220kV
18_220kV,18_220kV
20_220kV,20_220kV
22_220kV,22_220kV
24_220kV,24_220kV
26_220kV,26_220kV
30_220kV,30_220kV
32_220kV,32_220kV
37_220kV,37_220kV
42_220kV,42_220kV
46_220kV,46_220kV
52_220kV,52_220kV
56_220kV,56_220kV
61_220kV,61_220kV
68_220kV,68_220kV
69_220kV,69_220kV
74_220kV,74_220kV
78_220kV,78_220kV
86_220kV,86_220kV
87_220kV,87_220kV
94_220kV,94_220kV
95_220kV,95_220kV
96_220kV,96_220kV
99_220kV,99_220kV
100_220kV,100_220kV
104_220kV,104_220kV
105_220kV,105_220kV
106_220kV,106_220kV
107_220kV,107_220kV
117_220kV,117_220kV
120_220kV,120_220kV
123_220kV,123_220kV
124_220kV,124_220kV
125_220kV,125_220kV
128_220kV,128_220kV
129_220kV,129_220kV
138_220kV,138_220kV
143_220kV,143_220kV
156_220kV,156_220kV
157_220kV,157_220kV
159_220kV,159_220kV
160_220kV,160_220kV
165_220kV,165_220kV
184_220kV,184_220kV
191_220kV,191_220kV
195_220kV,195_220kV
201_220kV,201_220kV
220_220kV,220_220kV
231_220kV,231_220kV
232_220kV,232_220kV
233_220kV,233_220kV
236_220kV,236_220kV
247_220kV,247_220kV
248_220kV,248_220kV
250_220kV,250_220kV
251_220kV,251_220kV
252_220kV,252_220kV
261_220kV,261_220kV
263_220kV,263_220kV
264_220kV,264_220kV
267_220kV,267_220kV
272_220kV,272_220kV
279_220kV,279_220kV
281_220kV,281_220kV
282_220kV,282_220kV
292_220kV,292_220kV
303_220kV,303_220kV
307_220kV,307_220kV
308_220kV,308_220kV
312_220kV,312_220kV
315_220kV,315_220kV
317_220kV,317_220kV
322_220kV,322_220kV
332_220kV,332_220kV
334_220kV,334_220kV
336_220kV,336_220kV
338_220kV,338_220kV
351_220kV,351_220kV
353_220kV,353_220kV
360_220kV,360_220kV
362_220kV,362_220kV
382_220kV,382_220kV
384_220kV,384_220kV
385_220kV,385_220kV
391_220kV,391_220kV
403_220kV,403_220kV
404_220kV,404_220kV
413_220kV,413_220kV
421_220kV,421_220kV
450_220kV,450_220kV
458_220kV,458_220kV
